Kanji#Reading#JLPT#Type#Meaning
['あの人']#[['あのひと']]#5#['&pn;']#['he', 'she', 'that person']
['分木']#[['ぶんぎ']]#5#['&n;']#['-ary tree']
['聞き手']#[['ききて']]#5#['&n;']#['hearer', 'listener', 'audience']
['僻見']#[['へきけん']]#5#['&n;']#['prejudice']
['僻言']#[['へきげん']]#5#['&n;']#['unreasonable talk']
['僻書']#[['へきしょ']]#5#['&n;']#['biased writing', 'biassed writing']
['僻目']#[['ひがめ']]#5#['&n;']#['squint']
['母']#[['はは'], ['はわ'], ['かか'], ['おも'], ['いろは'], ['あも']]#5#['&n;']#['mother']
['母の日']#[['ははのひ']]#5#['&exp;', '&n;']#[\"Mother's Day (2nd Sunday of May)\"]
['母語']#[['ぼご']]#5#['&n;']#['mother tongue', 'native language']
['母校']#[['ぼこう']]#5#['&n;']#['alma mater']
['母国']#[['ぼこく']]#5#['&n;']#[\"one's home country\", \"one's homeland\"]
['母国語']#[['ぼこくご']]#5#['&n;']#[\"language of one's country\", 'mother tongue', 'native language']
['母子']#[['ぼし'], ['ははこ'], ['おやこ']]#5#['&n;']#['mother and child']
['母上']#[['ははうえ']]#5#['&n;']#['mother']
['母斑']#[['ぼはん']]#5#['&n;']#['nevus', 'naevus', 'birthmark']
['呆気']#[['あっけ']]#5#['&n;']#['being taken aback', 'state of shock', 'dumbfoundedness']
['北']#[['きた']]#5#['&n;']#['north']
['北北東']#[['ほくほくとう']]#5#['&n;']#['north-northeast', 'north-north-east']
['北アイルランド']#[['きたアイルランド']]#5#['&n;']#['Northern Ireland']
['北アメリカ']#[['きたアメリカ']]#5#['&n;']#['North America']
['北カリフォルニア']#[['ほくカリフォルニア']]#5#['&n;']#['Northern California']
['北下ろし']#[['きたおろし']]#5#['&n;']#['cold wind from the northern uplands']
['北口']#[['きたぐち']]#5#['&n;']#['north entrance', 'north exit']
['北国人']#[['ほっこくじん']]#5#['&n;']#['northerner']
['北山']#[['きたやま']]#5#['&n;']#['northern hill']
['北天']#[['ほくてん']]#5#['&n;']#['northern sky']
['北半']#[['ほくはん']]#5#['&n;']#['northern half']
['北枕']#[['きたまくら'], ['キタマクラ']]#5#['&n;']#[\"lying with one's head to the north (trad. position for dead bodies; taboo for sleeping)\"]
['本']#[['ほん']]#5#['&n;']#['book', 'volume', 'script']
['本校']#[['ほんこう']]#5#['&n;']#['main school', 'principal school']
['本国']#[['ほんごく'], ['ほんこく']]#5#['&n;']#['home country', \"one's own country\", 'country of origin']
['本国人']#[['ほんごくじん']]#5#['&n;']#['native', 'citizen']
['本社']#[['ほんしゃ'], ['ほんじゃ']]#5#['&n;']#['head office', 'main office', 'headquarters', 'parent company']
['本書']#[['ほんしょ']]#5#['&n;']#['text', 'script', 'this book']
['本人']#[['ほんにん']]#5#['&n;']#['the person in question', 'the person themselves', 'said person']
['本膳']#[['ほんぜん']]#5#['&n;']#['main course (of a formal meal)']
['本店']#[['ほんてん'], ['ほんだな']]#5#['&n;']#['head office', 'main office', 'main store', 'flagship store']
['本道']#[['ほんどう']]#5#['&n;']#['highway', 'main road', 'the right road']
['本読み']#[['ほんよみ']]#5#['&n;']#['script reading', 'scenario reading']
['本名']#[['ほんみょう'], ['ほんめい']]#5#['&n;']#['real name']
['本木']#[['もとき']]#5#['&n;']#['original stock']
['本籤']#[['ほんくじ']]#5#['&n;']#['first prize in a private lottery']
['毎']#[['ごと']]#5#['&n;', '&n-suf;', '&adv;']#['each', 'every']
['またの日']#[['またのひ']]#5#['&exp;', '&n;', '&adv;']#['another day', 'the next day']
['またの名']#[['またのな']]#5#['&exp;', '&n;']#['alias', 'another name']
['また木']#[['またぎ']]#5#['&n;']#['forked tree', 'forked branch']
['万一']#[['まんいち'], ['ばんいち'], ['まんいつ'], ['ばんいつ']]#5#['&n;']#['(unlikely event of) emergency', 'the worst(-case scenario)', {'_': '10000 to 1', '$': {'g_type': 'lit'}}]
['万金']#[['まんきん']]#5#['&n;']#['immense sum (of money)', 'ten thousand yen']
['万言']#[['まんげん']]#5#['&n;']#['many words']
['万口']#[['ばんこう']]#5#['&n;']#['(mouths of) many people']
['万頃']#[['ばんけい']]#5#['&n;']#['vast expanse']
['万千']#[['ばんせん']]#5#['&n;']#['tremendous number']
['万天']#[['ばんてん']]#5#['&n;']#['the whole world']
['万年']#[['まんねん'], ['よろずとせ']]#5#['&n;']#['ten thousand years', 'eternity']
['万分の一']#[['まんぶんのいち']]#5#['&exp;', '&n;']#['one ten-thousandth']
['万目']#[['ばんもく']]#5#['&n;']#['many eyes']
['万来']#[['ばんらい']]#5#['&n;']#['many guests']
['万斛']#[['ばんこく']]#5#['&n;']#['copious (tears)']
['万朶']#[['ばんだ']]#5#['&n;']#['many branches']
['冥土']#[['めいど']]#5#['&n;']#['Hades', 'the underworld', 'the other world', 'realm of the dead']
['名']#[['な']]#5#['&n;']#['name', 'given name']
['名言']#[['めいげん']]#5#['&n;']#['wise saying', 'famous saying']
['名手']#[['めいしゅ']]#5#['&n;']#['master', 'expert']
['名人']#[['めいじん']]#5#['&n;']#['master', 'expert']
['名前']#[['なまえ']]#5#['&n;']#['name']
['名前空間']#[['なまえくうかん']]#5#['&n;']#['namespace']
['名木']#[['めいぼく']]#5#['&n;']#['old tree of historical interest']
['蒙古']#[['もうこ']]#5#['&n;']#['Mongolia (region)', 'Greater Mongolia', 'Mongolian Plateau']
['木']#[['き']]#5#['&n;']#['tree', 'shrub', 'bush']
['木瓜']#[['ぼけ'], ['ボケ'], ['ぼっか'], ['もけ']]#5#['&n;']#['Japanese quince (Chaenomeles speciosa)', 'flowering quince']
['木鼠']#[['きねずみ']]#5#['&n;']#['squirrel']
['木天蓼']#[['またたび'], ['もくてんりょう'], ['マタタビ']]#5#['&n;']#['silver vine (Actinidia polygama)', 'cat powder']
['木菟']#[['みみずく'], ['みみづく'], ['ずく'], ['つく'], ['ミミズク']]#5#['&n;']#['horned owl']
['木苺']#[['きいちご'], ['キイチゴ']]#5#['&n;']#['raspberry (any plant of genus Rubus, esp. Rubus palmatus var. coptophyllus)']
['目安']#[['めやす']]#5#['&n;']#['criterion', 'standard', 'yardstick', 'reference', 'aim']
['目下']#[['めした']]#5#['&n;']#['subordinate', 'subordinates', 'inferior', 'inferiors', 'junior']
['目高']#[['めだか'], ['メダカ']]#5#['&n;']#['Japanese rice fish (Oryzias latipes)', 'killifish', 'Japanese medaka']
['目やに']#[['めやに'], ['めヤニ'], ['がんし']]#5#['&n;']#['eye mucus', 'eye discharge', 'sleep']
['目上']#[['めうえ']]#5#['&n;']#['superior', 'superiors', 'senior']
['目尻']#[['めじり']]#5#['&n;']#['outer canthus', 'outer corner of the eye']
['目先']#[['めさき']]#5#['&n;']#[\"before one's eyes\", \"under one's nose\"]
['目白']#[['めじろ'], ['メジロ']]#5#['&n;']#['white-eye family of birds (Zosteropidae)']
['目つき']#[['めつき']]#5#['&n;']#[\"look (in someone's eyes)\", 'expression (of the eyes)', 'eyes']
['目撥']#[['めばち'], ['メバチ']]#5#['&n;']#['bigeye tuna (edible fish, Thunnus obesus)']
['友']#[['とも']]#5#['&n;']#['friend', 'companion', 'comrade', 'pal']
['友人']#[['ゆうじん']]#5#['&n;']#['friend']
['よそ目']#[['よそめ']]#5#['&n;']#[\"another's eyes\", \"other people's eyes\", 'casual observer']
['傭人']#[['ようにん']]#5#['&n;']#['employee']
['ネジ山']#[['ネジやま'], ['ねじやま']]#5#['&n;']#['screw thread', 'ridge']
['来る日']#[['くるひ']]#5#['&exp;', '&n;']#['the coming days']
['来る年']#[['くるとし']]#5#['&exp;', '&n;']#['the coming year']
['来がけ']#[['きがけ']]#5#['&n;']#['on the way here']
['来書']#[['らいしょ']]#5#['&n;']#['letter received']
['来電']#[['らいでん']]#5#['&n;']#['incoming telegram']
['来冦']#[['らいこう']]#5#['&n;']#['invasion', 'raid']
['洛中']#[['らくちゅう']]#5#['&n;']#['inside the capital']
['立ち']#[['たち']]#5#['&n;']#['departure', 'setting off', 'start']
['みどりの日']#[['みどりのひ']]#5#['&exp;', '&n;']#['Greenery Day (national holiday; May 4)']
['聾唖学校']#[['ろうあがっこう']]#5#['&n;']#['school for the deaf and dumb']
['ろう学校']#[['ろうがっこう']]#5#['&n;']#['school for the deaf']
['六つ子']#[['むつご']]#5#['&n;']#['sextuplets']
['六花']#[['りっか']]#5#['&n;']#['snow']
['６月']#[['ろくがつ']]#5#['&n;']#['June']
['六書']#[['りくしょ'], ['りきしょ'], ['ろくしょ']]#5#['&n;']#['the six classes of (kanji) characters']
['６日']#[['むいか'], ['むゆか'], ['むよか']]#5#['&n;']#['6th day of the month']
['六本']#[['ろっぽん']]#5#['&n;']#['six (long cylindrical things)']
['六腑']#[['ろっぷ']]#5#['&n;']#['the six internal organs (large intestine, small intestine, gallbladder, stomach, san jiao, urinary bladder)']
['話し手']#[['はなして']]#5#['&n;']#['speaker']
['話下手']#[['はなしべた']]#5#['&adj-na;', '&n;']#['poor talker']
['詫び言']#[['わびごと']]#5#['&n;']#['apology']
['佗言']#[['わびこと']]#5#['&n;']#['words used when miserable or anxious']
['佗人']#[['わびびと']]#5#['&n;']#['lonesome person', 'unwanted person', 'poverty-stricken person']
['俎上']#[['そじょう']]#5#['&n;']#['on the chopping board']
['俚言']#[['りげん']]#5#['&n;']#['dialect']
['俚語']#[['りご']]#5#['&n;']#['dialect']
['俚耳']#[['りじ']]#5#['&n;']#['the ears of the public']
['倚子']#[['いし']]#5#['&n;']#['traditional square chair with armrests and a torii-shaped back (used by the emperor, etc. during ceremonies)']
['偃月']#[['えんげつ']]#5#['&n;']#['crescent moon']
['もたれ椅子']#[['もたれいす']]#5#['&n;']#['reclining chair']
['匐行疹']#[['ふっこうしん']]#5#['&n;']#['ringworm']
['咎人']#[['とがにん']]#5#['&n;']#['offender', 'criminal']
['喇叭手']#[['らっぱしゅ']]#5#['&n;']#['trumpeter', 'bugler']
['囃子']#[['はやし']]#5#['&n;']#['accompaniment for traditional performances (noh, kabuki, etc.)', 'orchestra', 'band']
['夥多']#[['かた']]#5#['&adj-na;', '&n;']#['many', 'plentiful']
['佞人']#[['ねいじん']]#5#['&n;']#['flatterer', 'smooth talker', 'crafty person']
['嬌名']#[['きょうめい']]#5#['&n;']#['reputation for beauty']
['嬶天下']#[['かかあでんか']]#5#['&n;']#['extremely overbearing wife']
['何れ']#[['いずれ'], ['いづれ']]#5#['&adv;', '&pn;']#['where', 'which', 'who']
['帷子']#[['かたびら']]#5#['&n;']#['light, thin, single-layer kimono (esp. from hemp or raw silk, for summer use)']
['彎月']#[['わんげつ']]#5#['&n;']#['crescent']
['戌年']#[['いぬどし'], ['イヌどし']]#5#['&n;']#['year of the Dog']
['もみ上げ']#[['もみあげ']]#5#['&n;']#['tuft of hair under temple', 'sideburns', 'sidelocks']
['搦め手']#[['からめて'], ['からめで']]#5#['&n;']#['rear gate (esp. of castle)', 'back entrance']
['すりこ木']#[['すりこぎ']]#5#['&n;']#['pestle']
['梭子魚']#[['かます'], ['カマス']]#5#['&n;']#['barracuda (Sphyraena spp.)']
['梵語']#[['ぼんご']]#5#['&n;']#['Sanskrit']
['楷書']#[['かいしょ']]#5#['&n;']#['printed style (of writing Chinese characters)', 'square style', 'block style', 'standard style']
['麾下']#[['きか']]#5#['&adj-no;', '&n;']#['under the command (of)', 'under the banner (of)', 'influenced (by)']
['しゃれっ気']#[['しゃれっけ']]#5#['&n;']#['fashion-consciousness', 'desire to be stylish']
['游魚']#[['ゆうぎょ']]#5#['&n;']#['fish swimming about in water']
['炒り子']#[['いりこ']]#5#['&n;']#['small dried sardine']
['炬火']#[['きょか'], ['こか']]#5#['&n;']#['pine torch', 'torchlight', 'firebrand']
['熾火']#[['おきび']]#5#['&n;']#['glowing ember (either red hot charcoal or the glowing remains of burnt firewood)', 'live charcoal']
['猊下']#[['げいか']]#5#['&n;', '&n-suf;']#['your highness', 'your grace', 'your eminence']
['猥本']#[['わいほん']]#5#['&n;']#['pornography', 'obscene book']
['瞽女']#[['ごぜ']]#5#['&n;']#['blind female beggar who sings or plays shamisen']
['矮小']#[['わいしょう']]#5#['&adj-na;', '&n;']#['diminutive', 'dwarfish', 'pygmy', 'stunted', 'undersized']
['穢多']#[['えた']]#5#['&n;']#['eta', {'_': \"group comprising the lowest rank of Japan's Edo-period caste system and whose work usually involved handling human bodies or animal carcasses\", '$': {'g_type': 'expl'}}]
['箴言']#[['しんげん']]#5#['&n;']#['proverb', 'maxim', 'aphorism']
['篆書']#[['てんしょ']]#5#['&n;']#['seal-engraving style (of writing Chinese characters)', 'seal script']
['緞子']#[['どんす']]#5#['&n;']#['silk damask', 'satin damask']
['艙口']#[['そうこう']]#5#['&n;']#['hatch', 'hatchway (ship)']
['衒学']#[['げんがく']]#5#['&n;']#['pedantry', 'display of learning']
['衒気']#[['げんき']]#5#['&n;']#['affectation', 'ostentation', 'vanity']
['詭道']#[['きどう']]#5#['&n;']#['deceptive methods', 'questionable means']
['誣言']#[['ふげん']]#5#['&n;']#['calumny', 'slander', 'false charge']
['うわ言']#[['うわごと'], ['せんげん'], ['げいご']]#5#['&n;']#['talking in delirium', 'incoherent muttering']
['譫語']#[['せんご']]#5#['&n;']#['talking in a delirium']
['豎子']#[['じゅし']]#5#['&n;']#['child', 'young lad']
['贔屓目']#[['ひいきめ']]#5#['&n;']#['seeing things in a favourable light (favorable)']
['鉗子']#[['かんし']]#5#['&n;']#['forceps']
['閹人']#[['えんじん']]#5#['&n;']#['eunuch']
['隧道']#[['すいどう'], ['ずいどう'], ['ついどう']]#5#['&n;']#['tunnel']
['韋陀天']#[['いだてん']]#5#['&n;']#['Wei-To (temple guardian sometimes confused with Vajrapani)']
['餃子']#[['ギョーザ'], ['ぎょうざ'], ['ギョウザ'], ['チャオズ']]#5#['&n;']#['gyoza', 'pot sticker', {'_': 'crescent-shaped pan-fried dumplings stuffed with minced pork and vegetables', '$': {'g_type': 'expl'}}]
['驟雨']#[['しゅうう']]#5#['&n;']#['sudden shower', 'sudden downpour']
['驥足']#[['きそく']]#5#['&n;']#['full ability']
['骰子']#[['さいころ'], ['サイコロ']]#5#['&n;']#['dice', 'die']
['鬢長']#[['びんなが'], ['びんちょう'], ['ビンナガ'], ['ビンチョウ']]#5#['&n;']#['albacore (Thunnus alalunga)', 'germon']
['山鶉']#[['やまうずら'], ['ヤマウズラ']]#5#['&n;']#['partridge (of genus Perdix)']
['鹹水']#[['かんすい']]#5#['&n;']#['brackish water', 'brine', 'salt water']
['一行']#[['いちぎょう']]#5#['&n;']#['(one) line', '(one) row']
['一山']#[['ひとやま']]#5#['&n;']#['one mountain']
['一子']#[['いっし']]#5#['&n;']#['one child']
['ひとり子']#[['ひとりご']]#5#['&n;']#['(an) only child']
['一食']#[['いっしょく'], ['いちじき']]#5#['&n;']#['one meal']
['一人']#[['ひとり'], ['いちにん']]#5#['&n;']#['one person']
['一人天下']#[['ひとりてんか'], ['ひとりでんか']]#5#['&n;']#['being the sole master of the situation', 'reigning supreme', 'standing unchallenged']
['一日']#[['いちにち'], ['いちじつ'], ['ひとひ'], ['ひとえ']]#5#['&n;']#['one day']
['一年']#[['いちねん'], ['ひととし'], ['ひととせ']]#5#['&n;']#['one year', 'some time ago']
['雨気']#[['あまけ'], ['うき']]#5#['&n;']#['signs of rain', 'threatening to rain']
['雨水']#[['あまみず'], ['うすい']]#5#['&n;']#['rain water']
['閏月']#[['うるうづき'], ['じゅんげつ']]#5#['&n;']#['intercalary month (lunar calendar)', 'leap month']
['下々']#[['しもじも'], ['したじた']]#5#['&n;']#['the lower classes', 'the common people']
['何']#[['なに']]#5#['&pn;']#['what']
['何人も']#[['なにびとも'], ['なんびとも'], ['なんぴとも']]#5#['&n;']#['(no matter) who', 'everyone', 'anyone']
['火箭']#[['かせん'], ['ひや']]#5#['&n;']#['fire arrow', 'incendiary arrow']
['魚']#[['さかな'], ['うお']]#5#['&n;']#['fish']
['金鯱']#[['きんしゃち'], ['きんのしゃちほこ'], ['きんのしゃち']]#5#['&n;']#['golden dolphin']
['九']#[['きゅう'], ['く'], ['ここの'], ['この'], ['ここ']]#5#['&num;']#['nine', '9']
['古本']#[['ふるほん'], ['ふるぼん'], ['こほん']]#5#['&n;']#['secondhand book']
['五月雨']#[['さみだれ'], ['さつきあめ']]#5#['&n;']#['early-summer rain']
['五月幟']#[['ごがつのぼり'], ['さつきのぼり']]#5#['&n;']#[\"Boys' Festival paper-carp streamers\"]
['口腔']#[['こうこう'], ['こうくう']]#5#['&n;']#['oral cavity', 'mouth']
['行き']#[['いき'], ['ゆき']]#5#['&n;']#['the way there', 'outbound leg', 'outbound trip', 'departing leg']
['高名']#[['こうめい'], ['こうみょう']]#5#['&adj-na;', '&n;']#['famous', 'well-known', 'renowned', 'distinguished', 'celebrated']
['はけ口']#[['はけぐち'], ['さばけぐち']]#5#['&n;']#['outlet (e.g. for water or gas)']
['三']#[['さん'], ['み']]#5#['&num;']#['three', '3']
['三七日']#[['みなぬか'], ['みなのか'], ['さんしちにち']]#5#['&n;']#['21st day after death', '21st day after birth']
['四']#[['し'], ['よん'], ['よ']]#5#['&num;']#['four', '4']
['四十八手']#[['しじゅうはって']]#5#['&n;']#['the 48 basic techniques']
['耳たぶ']#[['みみたぶ'], ['じだ']]#5#['&n;']#['earlobe']
['七日']#[['なのか'], ['なぬか']]#5#['&n;']#['7th day of the month']
['十']#[['じゅう'], ['とお'], ['と']]#5#['&num;']#['ten', '10']
['十四']#[['じゅうし'], ['じゅうよん']]#5#['&num;']#['14', 'fourteen']
['十七']#[['じゅうしち'], ['じゅうなな']]#5#['&num;']#['17', 'seventeen']
['出生年月日']#[['しゅっしょうねんがっぴ'], ['しゅっせいねんがっぴ']]#5#['&n;']#['date of birth', 'DOB']
['少女']#[['しょうじょ'], ['おとめ']]#5#['&n;']#['little girl', 'maiden', 'young lady', {'_': 'female usually between 7 and 18 years old', '$': {'g_type': 'expl'}}]
['手のひら']#[['てのひら'], ['たなごころ'], ['しょう']]#5#['&n;']#[\"palm (of one's hand)\"]
['上がり口']#[['あがりくち'], ['あがりぐち']]#5#['&n;']#['entrance']
['上顎']#[['うわあご'], ['じょうがく']]#5#['&n;']#['upper jaw', 'palate']
['上手']#[['うわて'], ['かみて']]#5#['&adj-na;', '&n;']#['upper part']
['人']#[['ひと'], ['ヒト']]#5#['&n;']#['person', 'someone', 'somebody']
['人々']#[['ひとびと']]#5#['&n;']#['people', 'men and women']
['人目']#[['ひとめ'], ['じんもく']]#5#['&n;']#['(public) notice', 'attention', 'public eye', 'public gaze']
['先行き']#[['さきゆき'], ['さきいき']]#5#['&n;']#['the future', 'future prospects']
['前足']#[['まえあし'], ['ぜんし'], ['ぜんきゃく']]#5#['&n;']#['forefoot', 'forefeet', 'foreleg', 'forelimb']
['前半']#[['ぜんはん'], ['ぜんぱん']]#5#['&n;']#['first half']
['天が下']#[['あまがした'], ['あめがした']]#5#['&n;']#['the whole country', 'the public', 'the world', 'the ruling power', \"having one's own way\"]
['天の川']#[['あまのがわ'], ['あまのかわ']]#5#['&n;']#['Milky Way', {'_': 'luminous band corresponding to the plane of the galaxy', '$': {'g_type': 'expl'}}]
['天人']#[['てんじん']]#5#['&n;']#['God and man', 'heaven and man']
['天道']#[['てんとう'], ['てんどう'], ['あまじ']]#5#['&n;']#['the sun']
['店']#[['みせ']]#5#['&n;']#['store', 'shop', 'establishment', 'restaurant']
['店']#[['てん']]#5#['&n-suf;']#['store', 'shop', 'restaurant']
['読本']#[['とくほん'], ['どくほん']]#5#['&n;']#['reading-book', 'reader', 'guidebook', 'manual']
['南瓜']#[['かぼちゃ'], ['ぼうぶら'], ['なんか'], ['カボチャ']]#5#['&n;']#['pumpkin (Cucurbita sp.)', 'squash']
['南国']#[['なんごく']]#5#['&n;']#['southern country']
['二七日']#[['ふたなぬか'], ['ふたなのか']]#5#['&n;']#[\"second week's memorial services\"]
['二食']#[['にしょく'], ['にじき']]#5#['&n;']#['two meals', '(eating) two meals a day']
['二人']#[['ふたり'], ['ににん']]#5#['&n;']#['two persons', 'two people', 'pair', 'couple']
['日本']#[['にほん'], ['にっぽん']]#5#['&n;']#['Japan']
['入口']#[['いりぐち'], ['いりくち'], ['はいりぐち'], ['はいりくち']]#5#['&n;']#['entrance', 'entry', 'gate', 'approach', 'mouth']
['年月']#[['としつき'], ['ねんげつ']]#5#['&n;']#['months and years']
['八']#[['はち'], ['や']]#5#['&num;']#['eight', '8']
['八つ']#[['やっつ'], ['やつ']]#5#['&num;']#['eight']
['八千年']#[['はっせんねん'], ['やちとせ']]#5#['&n;']#['8000 years', 'thousands of years', 'eternity']
['八分目']#[['はちぶめ'], ['はちぶんめ']]#5#['&n;']#['eight-tenths']
['八本']#[['はちほん'], ['はっぽん']]#5#['&n;']#['eight (long cylindrical things)']
['半月']#[['はんげつ'], ['はんつき']]#5#['&n;']#['half-moon']
['はた目']#[['はため']]#5#['&n;']#[\"outsider's perspective\", 'as seen by an observer']
['北国']#[['きたぐに'], ['ほっこく']]#5#['&n;']#['northern country']
['毎月']#[['まいつき'], ['まいげつ']]#5#['&adv;', '&n;']#['every month', 'each month', 'monthly']
['毎年']#[['まいとし'], ['まいねん']]#5#['&adv;', '&n;']#['every year', 'yearly', 'annually']
['万']#[['まん'], ['よろず']]#5#['&num;']#['10,000', 'ten thousand']
['万劫']#[['ばんごう'], ['まんごう']]#5#['&n;']#['eternity']
['万人']#[['ばんにん'], ['ばんじん'], ['まんにん']]#5#['&n;']#['all people', 'everybody']
['万万一']#[['ばんばんいち'], ['まんまんいち']]#5#['&adv;', '&n;']#['by any chance', 'ten thousand to one']
['木目']#[['もくめ']]#5#['&n;']#['grain (of wood)']
['螺子']#[['ねじ'], ['らし'], ['ネジ']]#5#['&n;']#['screw']
['六']#[['ろく'], ['む'], ['むう']]#5#['&num;']#['six', '6']
['六つ']#[['むっつ'], ['むつ']]#5#['&num;']#['six']
['足かせ']#[['あしかせ']]#5#['&n;']#['fetters', 'shackles', 'hobbles', 'encumbrance', 'hindrance', 'burden', 'trap']
['足がかり']#[['あしがかり']]#5#['&n;']#['foothold', 'footing', 'toehold', 'stepping stone']
['あだ名']#[['あだな'], ['こんめい']]#5#['&n;']#['nickname']
['宛先']#[['あてさき']]#5#['&n;']#['address', 'destination']
['宛名']#[['あてな']]#5#['&n;']#[\"(addressee's) name\", \"(recipient's) name and address\"]
['雨上がり']#[['あめあがり'], ['あまあがり']]#5#['&n;']#['after the rain']
['生け花']#[['いけばな'], ['せいか']]#5#['&n;']#['ikebana', {'_': 'Japanese art of flower arrangement', '$': {'g_type': 'expl'}}]
['いたずら書き']#[['いたずらがき']]#5#['&n;']#['scribbling', 'doodling', 'graffiti']
['一分金']#[['いちぶきん']]#5#['&n;']#['ichibukin', {'_': 'Edo-period rectangular gold coin worth a quarter ryō', '$': {'g_type': 'expl'}}]
['一ヶ月']#[['いっかげつ']]#5#['&n;']#['one month']
['今々']#[['いまいま']]#5#['&n;']#['right now']
['入り日']#[['いりひ']]#5#['&n;']#['setting sun', 'evening sun']
['上筵']#[['うわむしろ']]#5#['&n;']#['thin padded mat laid on the tatami']
['大げさ']#[['おおげさ']]#5#['&adj-na;', '&n;']#['grandiose', 'exaggerated']
['大さじ']#[['おおさじ']]#5#['&n;']#['tablespoon']
['岡目八目']#[['おかめはちもく']]#5#['&n;']#[\"bystander's vantage point\", \"outsider's better grasp of the situation\"]
['行い']#[['おこない']]#5#['&n;']#['deed', 'act', 'action', 'conduct', 'behavior', 'behaviour', 'asceticism']
['お八つ']#[['おやつ']]#5#['&n;']#['between-meal snack']
['おろし金']#[['おろしがね']]#5#['&n;']#['grater (esp. the variety used in Japanese cooking to grate foods very finely)']
['買い手']#[['かいて']]#5#['&n;']#['buyer']
['書き入れ時']#[['かきいれどき']]#5#['&n;']#['busiest and most profitable business period', 'peak season']
['下腿']#[['かたい']]#5#['&n;']#['lower leg', 'shank']
['木々']#[['きぎ']]#5#['&n;']#['(many) trees', 'every tree', 'all kinds of trees']
['木くず']#[['きくず']]#5#['&n;']#['wood chips', 'wood offcuts', 'wood shavings', 'sawdust']
['気まぐれ']#[['きまぐれ']]#5#['&adj-na;', '&n;']#['whim', 'caprice', 'whimsy', 'fickle', 'moody', 'uneven temper']
['口々']#[['くちぐち']]#5#['&n;']#['every person', 'every mouth']
['国']#[['くに']]#5#['&n;']#['country', 'state']
['国々']#[['くにぐに']]#5#['&n;']#['countries']
['螢火']#[['けいか'], ['ほたるび']]#5#['&n;']#['light of a firefly']
['芥子']#[['けし'], ['ケシ']]#5#['&n;']#['opium poppy (Papaver somniferum)']
['股間']#[['こかん']]#5#['&n;']#['nether region', 'between the legs', 'groin', 'crotch']
['古言']#[['こげん']]#5#['&n;']#['old saying', 'old expression']
['古址']#[['こし']]#5#['&n;']#['historic ruins']
['木立']#[['こだち']]#5#['&n;']#['cluster of trees', 'grove', 'thicket']
['四股名']#[['しこな']]#5#['&n;']#[\"wrestler's stage name\"]
['下ばき']#[['したばき']]#5#['&n;']#['undershorts', 'underpants']
['七七日']#[['しちしちにち'], ['なななぬか'], ['なななのか']]#5#['&n;']#['49th day after death']
['少々']#[['しょうしょう']]#5#['&adv;', '&n;']#['just a minute', 'small quantity']
['棲み分け']#[['すみわけ']]#5#['&n;']#['habitat isolation']
['千鈞']#[['せんきん']]#5#['&n;']#['1000 pounds', '1000 kan', '1000 yen', '1000 pieces of gold', 'great weight', 'pricelessness']
['前篇']#[['ぜんぺん']]#5#['&n;']#['first part', 'first volume', 'prequel']
['手がかり']#[['てがかり']]#5#['&n;']#['clue', 'lead', 'key', 'trail', 'scent', 'track']
['梃子']#[['てこ'], ['テコ']]#5#['&n;']#['lever']
['手すり']#[['てすり']]#5#['&n;']#['handrail', 'railing', 'banister']
['手ぬぐい']#[['てぬぐい']]#5#['&n;']#['(hand) towel']
['手まめ']#[['てまめ']]#5#['&adj-na;', '&n;']#['diligent', 'industrious', 'skillful', 'dextrous']
['天秤']#[['てんびん']]#5#['&n;']#['(balance) scales']
['出入り口']#[['でいりぐち']]#5#['&n;']#['exit and entrance']
['何々']#[['なになに']]#5#['&pn;']#['what']
['何もかも']#[['なにもかも']]#5#['&exp;', '&n;', '&adv;']#['anything and everything', 'just about everything']
['南南西']#[['なんなんせい']]#5#['&n;']#['south-southwest', 'south-south-west']
['南南東']#[['なんなんとう']]#5#['&n;']#['south-southeast', 'south-south-east']
['にわか雨']#[['にわかあめ']]#5#['&n;']#['rain shower']
['大蒜']#[['にんにく'], ['ニンニク']]#5#['&n;']#['garlic (Allium sativum)']
['飲み水']#[['のみみず']]#5#['&n;']#['drinking water', 'potable water']
['のろけ話']#[['のろけばなし'], ['ノロケばなし']]#5#['&n;']#[\"boastful talk about one's love life\", \"speaking fondly about one's sweetheart\", \"going on about one's love affairs\"]
['呑気']#[['のんき'], ['ノンキ']]#5#['&adj-na;', '&n;']#['carefree', 'optimistic', 'careless', 'reckless', 'heedless', 'happy-go-lucky', 'easygoing', 'thoughtless']
['２０日']#[['はつか'], ['にじゅうにち']]#5#['&n;']#['20th day of the month']
['話']#[['はなし']]#5#['&n;']#['talk', 'speech', 'chat', 'conversation']
['食出']#[['はみだし']]#5#['&n;']#['jutting out (of bounds)', 'being crowded out']
['一まとめ']#[['ひとまとめ']]#5#['&n;']#['bundle', 'pack', 'bunch']
['古川']#[['ふるかわ']]#5#['&n;']#['old river']
['北北西']#[['ほくほくせい']]#5#['&n;']#['north-northwest']
['毎々']#[['まいまい']]#5#['&adv;', '&n;']#['each time', 'frequently', 'always']
['前々']#[['まえまえ']]#5#['&n;']#['a long time ago', 'long before now']
['見かけ']#[['みかけ']]#5#['&n;']#['outward appearance']
