Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['顎紐']#[['あごひも']]#100#['&n;']#['chin strap']
['顎髭']#[['あごひげ'], ['アゴヒゲ']]#100#['&n;']#['beard (esp. on the chin)', 'goatee']
['お浚い']#[['おさらい']]#100#['&n;']#['review', 'rehearsal']
['お捻り']#[['おひねり']]#100#['&n;']#['wrapped offering (of money)']
['袖なし']#[['そでなし']]#100#['&adj-no;', '&n;']#['sleeveless (garment)']
['鋤簾']#[['じょれん']]#100#['&n;']#['(long-handled) bamboo winnow used to sift earth or sand']
['疽腫']#[['そしょう']]#100#['&n;']#['swelling', 'boil']
['樽柿']#[['たるがき']]#100#['&n;']#['persimmons mellowed in a sake cask']
['樽俎']#[['そんそ']]#100#['&n;']#['(eating or drinking) party']
['柘榴']#[['ざくろ'], ['せきりゅう'], ['じゃくろ'], ['ザクロ']]#100#['&n;']#['pomegranate (Punica granatum)']
['ゴミ溜め']#[['ゴミため'], ['ごみため'], ['ゴミタメ']]#100#['&n;']#['garbage dump', 'scrap heap', 'rubbish dump', 'dump', 'dumpsite']
['羈絆']#[['きはん']]#100#['&n;']#['fetters', 'shackles', 'restraints', 'bond', 'connection']
['搗き臼']#[['つきうす']]#100#['&n;']#['mortar (for pounding rice)']
['鋸鮫']#[['のこぎりざめ'], ['ノコギリザメ']]#100#['&n;']#['saw shark (esp. the Japanese saw shark, Prietiophorus japonicus)']
['膝枕']#[['ひざまくら']]#100#['&n;']#[\"laying one's head in someone's lap\", \"using someone's lap for a pillow\"]
['此れ此れ']#[['これこれ']]#100#['&n;']#['this and that', 'such and such']
['しのび逢い']#[['しのびあい']]#100#['&n;']#['clandestine meeting (e.g. for lovers)', 'rendezvous', 'tryst', 'secret meeting']
['蹴爪']#[['けづめ']]#100#['&n;']#['fetlock (horse, etc.)', 'spur (chicken, etc.)', 'cockspur', 'dewclaw (dog, etc.)']
['鷲掴み']#[['わしづかみ'], ['ワシづかみ']]#100#['&n;']#['grabbing hold', 'eagle grip', 'tight hold']
['醍醐']#[['だいご']]#100#['&n;']#['ghee (held to be the greatest of all flavours)', {'_': 'the ultimate truth of Buddhism', '$': {'g_type': 'fig'}}, {'_': 'nirvana', '$': {'g_type': 'fig'}}]
['螺鈿']#[['らでん']]#100#['&n;']#['mother-of-pearl']
['擂り餌']#[['すりえ']]#100#['&n;']#['ground food']
['嗅ぎタバコ']#[['かぎたばこ']]#100#['&n;']#['snuff']
['蛸壷']#[['たこつぼ'], ['タコつぼ'], ['タコツボ']]#100#['&n;']#['octopus pot']
['脾臟']#[['ひぞう']]#100#['&n;']#['spleen']
['痺れエイ']#[['しびれエイ'], ['しびれえい'], ['シビレエイ']]#100#['&n;']#['electric ray (any ray of order Torpediniformes)']
['蟻蜂']#[['ありばち']]#100#['&n;']#['velvet ant']
['晒し飴']#[['さらしあめ']]#100#['&n;']#['sweet rice jelly', '(whitish) rice candy']
['４０００']#[['よんせん'], ['しせん']]#100#['&num;']#['four thousand', '4,000']
['４００']#[['よんひゃく']]#100#['&num;']#['400', 'four hundred']
['淫猥']#[['いんわい']]#100#['&adj-na;', '&n;']#['obscenity', 'obscene']
['舷梯']#[['げんてい']]#100#['&n;']#['gangway (ladder)']
['晦冥']#[['かいめい']]#100#['&n;']#['darkness']
['脊梁']#[['せきりょう']]#100#['&n;']#['backbone', 'mountain range']
['呵呵']#[['かか']]#100#['&adv;', '&n;']#['sound of laughter']
['葛餅']#[['くずもち']]#100#['&n;']#['kudzu starch cake']
['葛餡']#[['くずあん']]#100#['&n;']#['kudzu sauce']
['葛籠']#[['つづら']]#100#['&n;']#['wicker clothes hamper']
['蟷螂の斧']#[['とうろうのおの']]#100#['&n;']#['courageous but doomed resistance']
['屠蘇']#[['とそ']]#100#['&n;']#[\"spiced sake (served at New Year's)\"]
['菱餅']#[['ひしもち']]#100#['&n;']#['rhombus-shaped mochi']
['吊るし柿']#[['つるしがき']]#100#['&n;']#['persimmon (hung to dry)', 'dried persimmon']
['吊り籠']#[['つりかご']]#100#['&n;']#['gondola']
['瓢箪']#[['ひょうたん'], ['ヒョウタン']]#100#['&n;']#['calabash (Lagenaria siceraria)', 'bottle gourd']
['瓢箪鯰']#[['ひょうたんなまず']]#100#['&n;']#['(person) slippery as an eel']
['槍衾']#[['やりぶすま']]#100#['&n;']#['line of spears held at the ready']
['痰壺']#[['たんつぼ']]#100#['&n;']#['spittoon', 'cuspidor']
['股ぐら']#[['またぐら']]#100#['&n;']#['crotch']
['股ずれ']#[['またずれ']]#100#['&n;']#['sore crotch', 'sore thigh']
['串柿']#[['くしがき']]#100#['&n;']#['dried persimmons on a skewer']
['糟糠']#[['そうこう']]#100#['&n;']#['chaff and bran', 'plain food']
['くたびれ儲け']#[['くたびれもうけ']]#100#['&n;']#['waste of effort', 'thankless task']
['膏肓']#[['こうこう'], ['こうもう']]#100#['&n;']#['innermost part of the body (where a disease cannot be treated)']
['縞瑪瑙']#[['しまめのう']]#100#['&n;']#['onyx']
['濡れ鼠']#[['ぬれねずみ']]#100#['&n;']#['soaked to the skin', 'like a drowned rat']
['鸞輿']#[['らんよ']]#100#['&n;']#['imperial conveyance']
['糞ったれ']#[['くそったれ'], ['くそたれ'], ['クソッタレ']]#100#['&n;']#['shithead', 'bastard']
['糞蝿']#[['くそばえ'], ['クソバエ']]#100#['&n;']#['greenbottle fly']
['頬杖']#[['ほおづえ'], ['ほほづえ'], ['つらづえ']]#100#['&n;']#[\"resting one's chin in one's hands\"]
['頬桁']#[['ほおげた']]#100#['&n;']#['cheekbone']
['６０']#[['ろくじゅう'], ['むそ']]#100#['&num;']#['sixty', '60']
['脛巾']#[['はばき']]#100#['&n;']#['leggings']
['脛齧り']#[['すねかじり'], ['スネかじり']]#100#['&n;']#[\"sponging (e.g. off one's parents)\", 'sponger']
['メッタ斬り']#[['メッタぎり'], ['めったぎり']]#100#['&n;']#['hacking to pieces']
['怯懦']#[['きょうだ']]#100#['&adj-na;', '&n;']#['cowardice']
['餡蜜']#[['あんみつ']]#100#['&n;']#['mixture of bean jam, boiled beans, agar cubes, fruit pieces and syrup']
['狸爺']#[['たぬきじじい']]#100#['&n;']#['cunning old man']
['狸饂飩']#[['たぬきうどん']]#100#['&n;']#['noodles with bits of deep-fried tempura batter']
['爪牙']#[['そうが']]#100#['&n;']#['claws and fangs', 'claws and tusks']
['いぼ痔']#[['いぼじ']]#100#['&n;']#['hemorrhoids', 'haemorrhoids', 'blind piles']
['陋巷']#[['ろうこう']]#100#['&n;']#['narrow, dirty backstreet']
['柏餅']#[['かしわもち']]#100#['&n;']#['rice cakes wrapped in oak leaves']
['烏瓜']#[['からすうり'], ['カラスウリ']]#100#['&n;']#['Japanese snake gourd (Trichosanthes pilosa)']
['辻斬り']#[['つじぎり']]#100#['&n;']#['killing a passerby in order to test a new sword']
['たらば蟹']#[['たらばがに'], ['たらばガニ'], ['タラバガニ']]#100#['&n;']#['red king crab (Paralithodes camtschaticus)']
['屍']#[['しかばね'], ['かばね'], ['し']]#100#['&n;']#['corpse']
['ズボン吊り']#[['ズボンつり']]#100#['&n;']#['suspenders']
['辻辻']#[['つじつじ']]#100#['&n;']#['every street corner', 'every crossing']
['蛙黽']#[['あぼう']]#100#['&n;']#['tree frog (toad)']
['穎']#[['えい']]#100#['&n;']#['awn', 'glume']
['腋窩腺']#[['えきかせん']]#100#['&n;']#['axillary gland']
['掩壕']#[['えんごう']]#100#['&n;']#['cover trench']
['俺たち']#[['おれたち']]#100#['&n;']#['we', 'us']
['戈']#[['か']]#100#['&n;']#['ge (ancient Chinese dagger-axe)']
['罐焚き']#[['かまたき']]#100#['&n;']#['stoker', 'fireman']
['瓦煎餅']#[['かわらせんべい']]#100#['&n;']#['tile-shaped rice-cracker']
['譏誹']#[['きひ']]#100#['&n;']#['abuse', 'slander']
['巾']#[['きん']]#100#['&n;']#['napkin', 'cloth']
['廓']#[['くるわ'], ['かく']]#100#['&n;']#['district', 'quarter']
['讚']#[['さん']]#100#['&n;']#['a style of Chinese poetry', 'legend or inscription on a picture']
['疵瑕']#[['しか']]#100#['&n;']#['blemish', 'flaw', 'defect']
['杓']#[['しゃく'], ['シャク']]#100#['&n;']#['ladle', 'dipper']
['尻すぼみ']#[['しりすぼみ'], ['しりつぼみ']]#100#['&n;']#['weak ending', 'tapering', 'anticlimax', 'tame ending']
['宸翰']#[['しんかん']]#100#['&n;']#['Imperial letter']
['溜め']#[['ため']]#100#['&n;']#['cesspool', 'sink', 'manure sink']
['爪クラッチ']#[['つめクラッチ']]#100#['&n;']#['claw clutch']
['蹄叉']#[['ていさ']]#100#['&n;']#['frog', 'fourchette', {'_': \"pad in a horse's hoof that acts as a shock absorber\", '$': {'g_type': 'expl'}}]
['鄭箋']#[['ていせん']]#100#['&n;']#['commentary on the Book of Odes by Zheng Xuan']
['轍叉']#[['てっさ']]#100#['&n;']#['railway frog']
['填隙']#[['てんげき']]#100#['&n;']#['caulking']
['綴じ蓋']#[['とじぶた']]#100#['&n;']#['mended lid']
['幢幡']#[['どうばん']]#100#['&n;']#['hanging-banner used as ornament in Buddhist temples']
['挽き臼']#[['ひきうす']]#100#['&n;']#['quern', 'hand mill']
['匕箸']#[['ひちょ']]#100#['&n;']#['spoon and chopsticks']
['斧鑿']#[['ふさく']]#100#['&n;']#['lucubration', 'elaboration', 'chisel and ax']
['聿旁']#[['ふでづくり']]#100#['&n;']#['kanji \"brush\" radical']
['庖厨']#[['ほうちゅう']]#100#['&n;']#['kitchen']
['戊戌']#[['ぼじゅつ']]#100#['&n;']#['Earth Dog (35th year of the sexagenary cycle, e.g. 1958, 2018, 2078)']
['裳']#[['も']]#100#['&n;']#['ancient skirt']
['蒙']#[['もう']]#100#['&n;']#['ignorance']
['リンゴの芯']#[['リンゴのしん'], ['りんごのしん']]#100#['&exp;', '&n;']#['apple core', 'core of an apple']
['蝋燭の芯']#[['ろうそくのしん'], ['ローソクのしん']]#100#['&n;']#['wick of a candle']
['篩']#[['ふるい']]#100#['&n;']#['sieve', 'sifter', 'screen']
['ポン柑']#[['ポンかん'], ['ポンカン']]#100#['&n;']#['ponkan orange (Citrus reticulata)', 'tangerine']
['糠']#[['ぬか'], ['ヌカ']]#100#['&n;']#['rice bran']
['ＮＡＳＤＡＱ']#[['ナスダック']]#100#['&n;']#['National Association of Securities Dealers Automated Quotations', 'NASDAQ']
['橡']#[['とちのき'], ['とち'], ['トチノキ']]#100#['&n;']#['Japanese horse chestnut (Aesculus turbinata)']
['禿鷲']#[['はげわし'], ['ハゲワシ']]#100#['&n;']#['Old World vulture']
['芒']#[['のぎ']]#100#['&n;']#['arista', 'awn', '(grain) beard']
['箍']#[['たが']]#100#['&n;']#['hoop (of a barrel, bucket, etc.)']
['稗']#[['ひえ'], ['ヒエ']]#100#['&n;']#['barnyard millet (Echinochloa esculenta)', 'Japanese millet', 'sanwa millet']
['３０']#[['さんじゅう'], ['みそ']]#100#['&num;']#['thirty', '30']
['ＥＦＦ']#[['イーエフエフ']]#100#['&n;']#['Extended Fund Facility (esp. IMF)', 'EFF']
['Ｇジャン']#[['ジージャン']]#100#['&n;']#['jean jacket', 'denim jacket']
['ＰＥＴボトル']#[['ペットボトル']]#100#['&n;']#['PET bottle (clear plastic beverage bottle)']
['アメリカ蝲蛄']#[['アメリカざりがに'], ['アメリカザリガニ']]#100#['&n;']#['red swamp crayfish (Procambarus clarkii)']
['竃']#[['かまど'], ['へっつい'], ['カマド']]#100#['&n;']#['kamado', {'_': 'traditional Japanese wood or charcoal-fueled cook stove', '$': {'g_type': 'expl'}}]
['鰺のたたき']#[['あじのたたき']]#100#['&n;']#['fresh scad']
['絣']#[['かすり']]#100#['&n;']#['splash pattern (e.g. on a kimono)', 'dye pattern', 'kasuri']
['竿秤']#[['さおばかり']]#100#['&n;']#['beam balance', 'steelyard']
['袖ぐり']#[['そでぐり']]#100#['&n;']#['sleeve-hole', 'armhole']
['鴇']#[['とき'], ['しゅろ'], ['つき'], ['トキ']]#100#['&n;']#['Japanese crested ibis (Nipponia nippon)', 'crested ibis']
['轟き']#[['とどろき']]#100#['&n;']#['roar', 'peal', 'rumble', 'booming']
['捌け']#[['はけ']]#100#['&n;']#['drainage', 'draining']
['腫れ']#[['はれ']]#100#['&n;']#['swelling', 'boil']
['薯蕷']#[['とろろ']]#100#['&n;']#['grated yam']
['醤蝦']#[['あみ'], ['アミ']]#100#['&n;']#['opossum shrimp (Mysida spp.)', 'mysid']
['腎盂']#[['じんう']]#100#['&n;']#['renal pelvis']
['綻び']#[['ほころび']]#100#['&n;']#['open seam', 'seam that has come apart', 'tear']
['掴み']#[['つかみ']]#100#['&n;']#['grip']
['捻り']#[['ひねり']]#100#['&n;']#['twist', 'spin']
['蜜蝋']#[['みつろう']]#100#['&n;']#['beeswax']
['刳り']#[['くり']]#100#['&n;']#['hollow', 'scoop']
['咎め']#[['とがめ']]#100#['&n;']#['blame', 'censure', 'rebuke', 'reproof']
['呟き']#[['つぶやき']]#100#['&n;']#['murmur', 'mutter', 'murmuring']
['呱呱']#[['ここ']]#100#['&n;']#['cry of a baby at its birth']
['恍け']#[['とぼけ']]#100#['&n;']#['assumed innocence', 'feigned ignorance']
['棕櫚']#[['しゅろ'], ['すろ'], ['シュロ']]#100#['&n;']#['Chinese windmill palm (Trachycarpus fortunei)', 'Chusan palm', 'hemp palm']
['睨み']#[['にらみ']]#100#['&n;']#['glare', 'sharp look']
['縒り']#[['より']]#100#['&n;']#['twist', 'ply']
['縺れ']#[['もつれ']]#100#['&n;']#['tangle', 'entanglement', 'snarl']
['荼毘']#[['だび']]#100#['&n;']#['cremation']
['褞袍']#[['どてら']]#100#['&n;']#['padded kimono']
['鞍']#[['くら']]#100#['&n;']#['saddle']
['堰']#[['せき'], ['いせき'], ['い']]#100#['&n;']#['dam', 'weir', 'barrier', 'sluice']
['砧']#[['きぬた']]#100#['&n;']#['fulling block', {'_': 'wooden or stone block for beating cloth', '$': {'g_type': 'expl'}}]
['杵']#[['きね']]#100#['&n;']#['mallet', 'pestle', 'pounder']
['躯']#[['むくろ']]#100#['&n;']#['(dead) body', 'corpse']
['轡']#[['くつわ'], ['くつばみ']]#100#['&n;']#['bit (mouthpiece)']
['卦']#[['け']]#100#['&n;']#['divination sign']
['硯']#[['すずり']]#100#['&n;']#['inkstone']
['壕']#[['ごう']]#100#['&n;']#['moat', 'fosse', 'trench', 'ditch']
['痔']#[['じ'], ['ぢ']]#100#['&n;']#['hemorrhoids', 'piles']
['鷸']#[['しぎ'], ['シギ']]#100#['&n;']#['sandpiper (any bird of family Scolopacidae, incl. the curlews, godwits, phalaropes, redshanks, ruff, snipes, turnstones, and woodcocks)']
['柴']#[['しば']]#100#['&n;']#['brushwood', 'firewood']
['槌']#[['つち']]#100#['&n;']#['hammer', 'mallet', 'sledge(hammer)', 'gavel']
['鐙']#[['あぶみ']]#100#['&n;']#['stirrup']
['瀞']#[['とろ']]#100#['&n;']#['pool (in a river)']
['灘']#[['なだ']]#100#['&n;']#['open sea']
['鋲']#[['びょう']]#100#['&n;']#['rivet', 'tack', 'thumbtack', 'drawing-pin', 'hobnail']
['悶え']#[['もだえ']]#100#['&n;']#['agony', 'anguish']
['暈']#[['かさ'], ['うん']]#100#['&n;']#['halo (around the Sun, Moon, etc.)', 'ring', 'corona']
['檄']#[['げき']]#100#['&n;']#['(written) appeal', 'circular', 'manifesto']
['簓']#[['ささら']]#100#['&n;']#['bamboo whisk']
['粽']#[['ちまき']]#100#['&n;']#['cake wrapped in bamboo leaves']
['膾']#[['なます']]#100#['&n;']#['namasu', 'dish of raw fish and vegetables seasoned in vinegar']
['蛆']#[['うじ'], ['ウジ']]#100#['&n;']#['maggot', 'larva', 'grub']
['鞐']#[['こはぜ']]#100#['&n;']#['clasp']
['顰み']#[['ひそみ'], ['ひん']]#100#['&n;']#['knitted brows', 'frown']
['鶫']#[['つぐみ'], ['ツグミ']]#100#['&n;']#['thrush (esp. the dusky thrush, Turdus naumanni)']
['鵯']#[['ひよどり'], ['ひえどり'], ['ヒヨドリ'], ['ヒエドリ']]#100#['&n;']#['brown-eared bulbul (Hypsipetes amaurotis)']
['鵺']#[['ぬえ']]#100#['&n;']#['Japanese chimera', \"mythical creature with a monkey's head, tanuki's body, tiger's limbs, and a snake tail\"]
['茱萸']#[['ぐみ'], ['グミ']]#100#['&n;']#['oleaster (any plant of genus Elaeagnus)', 'silverberry (US)']
['ＩＭＦ']#[['アイエムエフ']]#100#['&n;']#['International Monetary Fund', 'IMF']
['ＩＱ']#[['アイキュー']]#100#['&n;']#['IQ', 'intelligence quotient']
['ＩＤカード']#[['アイディーカード']]#100#['&n;']#['ID card', 'identification card']
['ＡＶ']#[['エーブイ']]#100#['&n;']#['audiovisual']
['ＥＣ']#[['イーシー']]#100#['&n;']#['European Community', 'EC']
['ＥＵ']#[['イーユー']]#100#['&n;']#['EU', 'European Union']
['インク壺']#[['インクつぼ']]#100#['&n;']#['inkwell']
['ＡＢＣ']#[['エービーシー']]#100#['&n;']#['alphabet', 'ABCs']
['獏']#[['ばく'], ['バク']]#100#['&n;']#['tapir (Tapirus spp.)']
['アポクリン腺']#[['アポクリンせん']]#100#['&n;']#['apocrine gland']
['アメリカ貘']#[['アメリカばく'], ['アメリカバク']]#100#['&n;']#['Brazilian tapir (Tapir tapirus)', 'lowland tapir']
['アルミ箔']#[['アルミはく']]#100#['&n;']#['aluminum foil']
['アンゴラ兎']#[['アンゴラうさぎ']]#100#['&n;']#['Angora rabbit']
['エクリン腺']#[['エクリンせん']]#100#['&n;']#['eccrine gland']
['エラトステネスの篩']#[['エラトステネスのふるい']]#100#['&n;']#[\"Eratosthenes' sieve\"]
['ゲラダ狒狒']#[['ゲラダひひ'], ['ゲラダヒヒ']]#100#['&n;']#['gelada (Theropithecus gelada)', 'gelada baboon']
['コルク樫']#[['コルクがし']]#100#['&n;']#['cork oak']
['ゴム糊']#[['ゴムのり']]#100#['&n;']#['mucilage']
['サイナス腺']#[['サイナスせん']]#100#['&n;']#['sinus gland']
['シャモット煉瓦']#[['シャモットれんが']]#100#['&n;']#['chamotte brick']
['スウェーデン蕪']#[['スウェーデンかぶ'], ['スウェーデンカブ']]#100#['&n;']#['rutabaga (Brassica napobrassica)', 'Swedish turnip', 'swede']
['スナック麺']#[['スナックめん']]#100#['&n;']#['snack noodle']
['スレート葺']#[['スレートぶき']]#100#['&n;']#['slate roof']
['タスマニア狼']#[['タスマニアおおかみ']]#100#['&n;']#['Tasmanian wolf']
['ツェツェ蠅']#[['ツェツェばえ']]#100#['&n;']#['tsetse fly']
['テニス肘']#[['テニスひじ']]#100#['&n;']#['tennis elbow']
['ナイル鰐']#[['ナイルわに'], ['ナイルワニ']]#100#['&n;']#['Nile crocodile (Crocodylus niloticus)']
['ビヤ樽']#[['ビヤだる']]#100#['&n;']#['beer barrel']
['ピンキング鋏']#[['ピンキングばさみ']]#100#['&n;']#['pinking shears']
['フルマ鴎']#[['フルマかもめ'], ['フルマカモメ']]#100#['&n;']#['northern fulmar (Fulmarus glacialis)']
['ベビー箪笥']#[['ベビーだんす']]#100#['&n;']#['small-sized wardrobe']
['マグマ溜り']#[['マグマだまり']]#100#['&n;']#['magma reservoir']
['葦鴨']#[['よしがも']]#100#['&n;']#['falcated teal']
['宛い']#[['あてがい']]#100#['&n;']#['allotment', 'arrangement']
['飴と鞭']#[['あめとむち'], ['あめとムチ'], ['アメとムチ']]#100#['&exp;', '&n;']#['carrot and stick', {'_': 'candy and whip', '$': {'g_type': 'lit'}}]
['闇カルテル']#[['やみカルテル']]#100#['&n;']#['unauthorized cartel', 'unauthorised cartel']
['鎧蜥蜴']#[['よろいとかげ']]#100#['&n;']#['girdle-tailed lizard']
['噛みタバコ']#[['かみタバコ'], ['かみたばこ']]#100#['&n;']#['chewing tobacco']
['萱鼠']#[['かやねずみ'], ['カヤネズミ']]#100#['&n;']#['harvest mouse (Mus minutus)']
['籐']#[['とう']]#100#['&n;']#['rattan', '(rattan) cane (e.g. used in wicker furniture)']
['癇']#[['かん']]#100#['&n;']#['temper', 'nerves']
['揆']#[['き']]#100#['&n;']#['way', 'method']
['蓬餅']#[['よもぎもち']]#100#['&n;']#['rice-flour dumplings mixed with mugwort']
['餡かけ']#[['あんかけ']]#100#['&n;']#['food covered in a thick starchy sauce (usu. made of kudzu or katakuriko flour)']
['狆くしゃ']#[['ちんくしゃ']]#100#['&n;']#['pug-nosed face', 'person with a pug-nosed face']
['捥り']#[['もぎり']]#100#['&n;']#['ticket-collector', 'collecting tickets']
['喉ちんこ']#[['のどちんこ'], ['ノドチンコ']]#100#['&n;']#['uvula']
['嘘つけ']#[['うそつけ'], ['ウソつけ']]#100#['&int;']#[\"you're lying\", 'yeah, right', 'liar', 'fibber']
['眦']#[['まなじり']]#100#['&n;']#['corner of the eye']
['簪']#[['かんざし']]#100#['&n;']#['ornate hairpin']
['ＡＲＰＡＮＥＴ']#[['アーパネット'], ['アルパネット']]#100#['&n;']#['Advanced Research Projects Agency Network', 'ARPANET']
['ＡＰＥＣ']#[['エーペック'], ['エイペック']]#100#['&n;']#['Asia-Pacific Economic Cooperation', 'APEC']
['腺ペスト']#[['せんペスト']]#100#['&n;']#['bubonic plague']
['橇']#[['かんじき'], ['カンジキ']]#100#['&n;']#['snowshoes']
['羹']#[['あつもの']]#100#['&n;']#['broth made of fish and vegetables']
['韃靼']#[['だったん']]#100#['&n;']#['Tartary (various tribes that historically inhabited the area north of China)']
['崖っぷち']#[['がけっぷち'], ['がけぷち'], ['がけぶち']]#100#['&n;']#['cliff edge', 'edge of a precipice']
['ずわい蟹']#[['ずわいがに'], ['ズワイがに'], ['ズワイガニ']]#100#['&n;']#['snow crab (Chionoecetes opilio)', 'queen crab']
['蝤蛑']#[['がざみ'], ['かざみ'], ['がさみ'], ['がざめ'], ['ガザミ']]#100#['&n;']#['swimming crab (Portunus trituberculatus)']
['噯']#[['おくび'], ['あいき']]#100#['&n;']#['belch', 'eructation', 'burp']
['斯くして']#[['かくして']]#100#['&conj;']#['thus']
['瘡蓋']#[['かさぶた']]#100#['&n;']#['scab', 'crust']
['痒み']#[['かゆみ']]#100#['&n;']#['itch']
['閂']#[['かんぬき'], ['かんのき']]#100#['&n;']#['bar', 'bolt (e.g. on door)', 'latch']
['斯うして']#[['こうして']]#100#['&conj;']#['thus', 'in this way']
['囀り']#[['さえずり']]#100#['&n;']#['chirp', 'twitter', 'warble']
['塒']#[['とぐろ']]#100#['&n;']#['coil']
['塒']#[['ねぐら']]#100#['&n;']#['roost', 'nest']
['鋏']#[['やっとこ']]#100#['&n;']#['pincers', 'nippers', 'pliers']
['唖蝉']#[['おしぜみ']]#100#['&n;']#['voiceless cicada (female)', 'Asian cicada']
['誰もかも']#[['だれもかも']]#100#['&n;']#['everyone']
['蜩']#[['ひぐらし'], ['ヒグラシ'], ['カナカナ']]#100#['&n;']#['evening cicada (Tanna japonensis)']
['鸊鷉']#[['かいつぶり'], ['カイツブリ']]#100#['&n;']#['little grebe (Tachybaptus ruficollis)']
['襷']#[['たすき']]#100#['&n;']#['cord used to tuck up the sleeves of a kimono']
['埒']#[['らち'], ['らっち']]#100#['&n;']#['bounds', 'limits']
['ＳＬ']#[['エスエル']]#100#['&n;']#['steam locomotive']
['釵']#[['さい']]#100#['&n;']#['sai (Okinawan weapon)']
['汝']#[['なんじ']]#100#['&pn;']#['thou', 'you']
['ＶＴＲ']#[['ブイティーアール'], ['ブイティアール']]#100#['&n;']#['videotape recorder', 'VTR']
['儂']#[['わし']]#100#['&pn;']#['I', 'me']
['餡パン']#[['あんパン'], ['アンパン']]#100#['&n;']#['anpan', 'bread roll filled with red bean paste']
['Ｇｏｏｇｌｅ']#[['グーグル']]#100#['&n;']#['Google']
['ペン胼胝']#[['ペンだこ']]#100#['&n;']#[\"callus on one's middle finger (from writing)\"]
['箔']#[['はく']]#100#['&n;']#['foil', '(gold, etc.) leaf']
['淦']#[['あか']]#100#['&n;']#['bilge water']
['撒き菱']#[['まきびし']]#100#['&n;']#['caltrop (spiked device scattered to maim infantry and horses)', 'calthrop', 'caltrap']
['淀み']#[['よどみ']]#100#['&n;']#['stagnation', 'deposit', 'sediment', 'backwater']
['牙龍']#[['がりゅう']]#100#['&n;']#[\"dragon's fang\"]
['撓み']#[['たわみ']]#100#['&n;']#['bend', 'curvature', 'deflection']
['鱶鰭']#[['ふかひれ'], ['フカヒレ']]#100#['&n;']#['shark fin']
['螯']#[['はさみ']]#100#['&n;']#['pincers (crab, scorpion, etc.)', 'claws', 'forceps']
['靫']#[['うつぼ'], ['うつお']]#100#['&n;']#['quiver (of arrows; cylindrical)']
['鱓']#[['うつぼ'], ['ウツボ']]#100#['&n;']#['moray (eel) (Gymnothorax kidako)', 'muraenid']
['餡饅']#[['あんまん'], ['アンマン']]#100#['&n;']#['steamed bun with sesame oil and anko filling']
['藺']#[['い'], ['イ']]#100#['&n;']#['soft rush (Juncus effusus var. decipiens)', 'common rush']
['諫め']#[['いさめ']]#100#['&n;']#['remonstrance', 'remonstration', 'admonition', 'protest', 'reproof', 'expostulation', 'advice', 'counsel']
['躄']#[['いざり']]#100#['&n;']#['crawling on the ground', \"shuffling on one's knees\"]
['鷽']#[['うそ'], ['ウソ']]#100#['&n;']#['Eurasian bullfinch (Pyrrhula pyrrhula)', 'Japanese bullfinch']
['嘘っこ']#[['うそっこ']]#100#['&n;']#['doing for fun', 'play']
['鬱']#[['うつ']]#100#['&n;']#['depression', 'low spirits']
['靫蔓']#[['うつぼかずら']]#100#['&n;']#['pitcher plant']
['粳']#[['うる'], ['うるち']]#100#['&n;']#['nonglutinous grain (not sticky enough to make mochi rice cakes)']
['榎']#[['えのき'], ['エノキ']]#100#['&n;']#['Japanese hackberry (Celtis sinensis var. japonica)', 'Chinese nettle tree']
['箙']#[['えびら']]#100#['&n;']#['quiver (of arrows)']
['８００']#[['はっぴゃく'], ['やお']]#100#['&num;']#['800', 'eight hundred']
['騙し']#[['だまし']]#100#['&n;']#['deceiving', 'cheating', 'fooling']
['ＴＰＯ']#[['ティーピーオー']]#100#['&n;']#['(appropriate to) time, place, occasion']
['ＬＳＩ']#[['エルエスアイ']]#100#['&n;']#['large scale integrated circuit', 'LSI']
['ＬＬ']#[['エルエル']]#100#['&n;']#['extra-large (clothing size)', 'XL']
['ＬＰ']#[['エルピー']]#100#['&n;']#['long-play (record)', 'long-playing', 'LP']
['カイゼル髭']#[['カイゼルひげ']]#100#['&n;']#['handlebar mustache']
['贔屓贔屓']#[['ひいきびいき']]#100#['&n;']#['each person supporting (patronizing) his (her) own favorite']
['舫い']#[['もやい']]#100#['&n;']#['painter', 'mooring rope']
['嗜み']#[['たしなみ']]#100#['&n;']#['taste (in goods, etc.)']
['〆粕']#[['しめかす']]#100#['&n;']#['oil cake', 'scrap cake']
['鎬']#[['しのぎ']]#100#['&n;']#['ridge on the side of a sword blade']
['鎬鑿']#[['しのぎのみ']]#100#['&n;']#['chisel for making dovetail joints']
['ジンギスカン鍋']#[['ジンギスカンなべ']]#100#['&n;']#['slotted dome cast iron grill for preparing jingisukan']
['楣']#[['まぐさ']]#100#['&n;']#['lintel (lacking the grooves needed for a sliding door)']
['殷']#[['いん']]#100#['&n;']#['Shang dynasty (of China; approx. 1600-1046 BCE)', 'Yin dynasty']
['庇']#[['ひさし']]#100#['&n;']#['awning (over window, doorway)', 'eaves (of roof)']
['哨吶']#[['チャルメラ'], ['チャルメル']]#100#['&n;']#[{'_': 'shawm-like instrument played by street vendors (sometimes referred to as a flute)', '$': {'g_type': 'expl'}}]
['艾']#[['もぐさ']]#100#['&n;']#['moxa']
