Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['早起き']#[['はやおき']]#4#['&n;', '&vs;']#['early rising']
['早送り']#[['はやおくり']]#4#['&n;', '&vs;']#['fast forward (e.g. VCR, tape deck, etc.)']
['こぎ着ける']#[['こぎつける']]#4#['&v1;', '&vt;']#['to row (a boat) to (a pier, shore, etc.)']
['走り回る']#[['はしりまわる']]#4#['&v5r;', '&vi;']#['to run around']
['走り去る']#[['はしりさる']]#4#['&v5r;']#['to run away', 'to run off']
['走り出す']#[['はしりだす']]#4#['&v5s;']#['to begin to run', 'to start running', 'to break into a run']
['走り書き']#[['はしりがき']]#4#['&n;', '&vs;']#['scribbling', 'scrawl', 'hasty writing']
['走る']#[['はしる']]#4#['&v5r;', '&vi;']#['to run']
['走行']#[['そうこう']]#4#['&n;', '&vs;']#['running (of a car, bus, etc.)', 'traveling', 'travelling']
['送り出す']#[['おくりだす']]#4#['&v5s;', '&vt;']#['to send out', 'to forward', 'to show (a person) out']
['送る']#[['おくる']]#4#['&v5r;', '&vt;']#['to send (a thing)', 'to dispatch', 'to despatch', 'to transmit']
['送金']#[['そうきん']]#4#['&n;', '&vs;']#['remittance', 'sending money']
['送出']#[['そうしゅつ']]#4#['&n;', '&vs;']#['sending']
['送電']#[['そうでん']]#4#['&n;', '&vs;']#['transmission of electricity', 'electricity supply', 'power supply']
['送別']#[['そうべつ']]#4#['&n;', '&vs;', '&adj-no;']#['farewell', 'send-off']
['足止め']#[['あしどめ']]#4#['&n;', '&vs;']#['preventing (someone) from leaving', 'confinement', 'keeping indoors', 'inducement to stay']
['遜色がある']#[['そんしょくがある']]#4#['&exp;', '&v5r-i;']#['inferior to', 'suffering by comparison with', 'unable to compare with']
['太る']#[['ふとる']]#4#['&v5r;', '&vi;']#['to put on weight', 'to gain weight', 'to grow fat', 'to get stout']
['体験']#[['たいけん']]#4#['&n;', '&vs;']#['(practical) experience', 'personal experience', 'hands-on experience', 'first-hand experience']
['待ちかねる']#[['まちかねる']]#4#['&v1;', '&vt;']#['to wait impatiently for']
['待ち合わせる']#[['まちあわせる']]#4#['&v1;']#['to rendezvous', 'to meet at a prearranged place and time', 'to arrange to meet']
['待つ']#[['まつ']]#4#['&v5t;', '&vt;', '&vi;']#['to wait']
['貸し出す']#[['かしだす']]#4#['&v5s;', '&vt;']#['to lend', 'to loan', 'to let out on hire']
['貸す']#[['かす']]#4#['&v5s;', '&vt;']#['to lend', 'to loan']
['貸借']#[['たいしゃく']]#4#['&n;', '&vs;']#['loan', 'debit and credit', 'lending and borrowing']
['代わり映え']#[['かわりばえ']]#4#['&n;', '&vs;']#['change for the better', 'improvement', 'looking better (than before)']
['代言']#[['だいげん']]#4#['&n;', '&vs;']#['advocacy', 'pleading by proxy', 'speaking for another', 'attorney']
['代行']#[['だいこう']]#4#['&n;', '&vs;', '&adj-no;']#['acting as agent', \"acting on (someone's) behalf\", 'executing business for']
['代作']#[['だいさく']]#4#['&n;', '&vs;']#['ghost-writing']
['代書']#[['だいしょ']]#4#['&n;', '&vs;']#['amanuensis', 'scribe']
['代読']#[['だいどく']]#4#['&n;', '&vs;']#['reading for another']
['代入']#[['だいにゅう']]#4#['&n;', '&vs;']#['substitution']
['代用']#[['だいよう']]#4#['&n;', '&vs;', '&adj-no;']#['substitution']
['代理']#[['だいり']]#4#['&n;', '&vs;', '&adj-no;']#['representation', 'agency', 'proxy', 'deputy', 'agent', 'attorney', 'substitute', 'alternate', 'acting (principal, etc.)']
['台頭']#[['たいとう']]#4#['&n;', '&vs;']#['rise (e.g. of a movement)', 'emergence', \"rearing one's head\", 'gaining prominence', 'coming to the fore', 'gaining power', 'gathering strength']
['大好きになる']#[['だいすきになる']]#4#['&exp;', '&v5r;']#['to come to like a lot', 'to fall in love']
['大別']#[['たいべつ']]#4#['&n;', '&vs;']#['general classification', 'broad categorization']
['叩き起す']#[['たたきおこす']]#4#['&v5s;', '&vt;']#['to wake up', 'to rouse out of bed']
['叩き切る']#[['たたききる']]#4#['&v5r;', '&vt;']#['to hack', 'to chop (firewood, meat, etc.)', 'to chop off (e.g. a head)']
['たどり着く']#[['たどりつく']]#4#['&v5k;', '&vi;']#['to arrive at (after a struggle)', 'to finally reach', \"to find one's way to\", 'to finally hit on (e.g. an idea)']
['知ったかぶり']#[['しったかぶり']]#4#['&n;', '&vs;']#['pretending to know']
['知らせる']#[['しらせる']]#4#['&v1;', '&vt;']#['to notify', 'to advise', 'to inform']
['知らん顔']#[['しらんかお']]#4#['&n;', '&vs;']#['feigned ignorance', 'pretending not to recognize (somebody)']
['知り合う']#[['しりあう']]#4#['&v5u;', '&vi;']#['to get to know each other', 'to make acquaintance']
['知り始める']#[['しりはじめる']]#4#['&v1;']#['to begin to know']
['知る']#[['しる']]#4#['&v5r;', '&vt;']#['to be aware of', 'to know', 'to be conscious of', 'to cognize', 'to cognise']
['知れる']#[['しれる']]#4#['&v1;', '&vi;']#['to become known', 'to come to light', 'to be discovered']
['知見']#[['ちけん']]#4#['&n;', '&vs;']#['expertise', 'experience', 'knowledge']
['地が出る']#[['じがでる']]#4#['&exp;', '&v1;']#[\"to reveal one's true colors (colours)\", 'to betray oneself']
['地でいく']#[['じでいく'], ['じでゆく']]#4#['&exp;', '&v5k-s;']#['to do for real', 'to do in real life', 'to carry (a story) into actual practice']
['地上げ']#[['じあげ']]#4#['&n;', '&vs;']#['buying up plots of land by force to resell at a large profit', 'land sharking']
['馳走']#[['ちそう']]#4#['&n;', '&vs;']#['treat', 'banquet', 'feast', 'entertainment', 'goodies']
['茶目る']#[['ちゃめる']]#4#['&v5r;']#['to play pranks']
['着く']#[['つく']]#4#['&v5k;', '&vi;']#['to arrive at', 'to reach']
['着せる']#[['きせる']]#4#['&v1;', '&vt;']#['to put clothes on (someone)', 'to dress', 'to clothe']
['着る']#[['きる']]#4#['&v1;', '&vt;']#['to wear (in modern Japanese, from the shoulders down)', 'to put on']
['着工']#[['ちゃっこう']]#4#['&n;', '&vs;']#['starting (construction) work']
['着手']#[['ちゃくしゅ']]#4#['&vs;']#['to start work (on)', 'to undertake']
['着色']#[['ちゃくしょく']]#4#['&n;', '&vs;', '&adj-no;']#['colouring', 'coloring', 'colorant']
['着やせ']#[['きやせ']]#4#['&n;', '&vs;']#['looking slender in clothing']
['着服']#[['ちゃくふく'], ['ちゃくぶく'], ['ちゃくぼく']]#4#['&n;', '&vs;']#['dressing oneself', 'putting on clothes']
['着目']#[['ちゃくもく']]#4#['&n;', '&vs;']#['attention', \"giving one's attention\", 'focusing']
['着用']#[['ちゃくよう']]#4#['&n;', '&vs;']#['wearing (e.g. uniform, seat belt)', 'having on']
['中止']#[['ちゅうし']]#4#['&n;', '&vs;']#['suspension', 'stoppage', 'discontinuance', 'interruption']
['中心とする']#[['ちゅうしんとする']]#4#['&exp;', '&vs-i;']#['to play a leading role', 'to play a central part']
['注']#[['ちゅう']]#4#['&n;', '&vs;']#['annotation', 'explanatory note', 'comment']
['注意']#[['ちゅうい']]#4#['&n;', '&vs;']#['attention', 'notice', 'heed']
['注入']#[['ちゅうにゅう']]#4#['&n;', '&vs;']#['pouring', 'injection']
['注文']#[['ちゅうもん']]#4#['&n;', '&vs;']#['order (for an item)']
['注目']#[['ちゅうもく']]#4#['&n;', '&vs;']#['notice', 'attention', 'observation']
['朝シャン']#[['あさシャン']]#4#['&n;', '&vs;']#['shampooing in the morning']
['朝起き']#[['あさおき']]#4#['&n;', '&vs;']#['early rising']
['朝立ち']#[['あさだち']]#4#['&n;', '&vs;']#['erection when waking in the morning', 'nocturnal penile tumescence', 'morning glory', 'morning wood']
['長持ち']#[['ながもち']]#4#['&n;', '&vs;']#['long-lasting', 'long-wearing', 'wears well']
['鳥瞰']#[['ちょうかん']]#4#['&n;', '&vs;']#['overlooking', 'looking down at', 'having an overhead view', \"having a bird's-eye view\", 'having a high-angle view']
['通う']#[['かよう']]#4#['&v5u;', '&vi;']#['to go to and from (a place)', 'to go back and forth between', 'to run between (e.g. bus, train, etc.)', 'to ply between']
['通じる']#[['つうじる']]#4#['&v1;', '&vi;']#['to be open (to traffic)', 'to lead to', 'to communicate (with)']
['通じ合う']#[['つうじあう']]#4#['&v5u;', '&vi;']#['to be understood by each other (of thoughts, feelings, etc.)', 'to be comprehended']
['通す']#[['とおす']]#4#['&v5s;', '&vt;']#['to stick through', 'to force through']
['通せんぼ']#[['とおせんぼ'], ['とおせんぼう']]#4#['&n;', '&vs;']#['blocking the way', 'standing in the way']
['通りかかる']#[['とおりかかる']]#4#['&v5r;', '&vt;', '&vi;']#['to happen to pass by']
['通る']#[['とおる']]#4#['&v5r;', '&vi;']#['to go by', 'to go past', 'to go along', 'to travel along', 'to pass through', 'to use (a road)', 'to take (a route)', 'to go via', 'to go by way of']
['通院']#[['つういん']]#4#['&n;', '&vs;']#['going to the hospital for regular treatment']
['通学']#[['つうがく']]#4#['&n;', '&vs;']#['commuting to school', 'school commute']
['通行']#[['つうこう']]#4#['&n;', '&vs;']#['passage (of people, traffic)', 'passing']
['通知']#[['つうち']]#4#['&n;', '&vs;']#['notice', 'notification', 'report', 'posting']
['通風']#[['つうふう']]#4#['&n;', '&vs;', '&adj-no;']#['ventilation', 'draft', 'airing']
['通分']#[['つうぶん']]#4#['&n;', '&vs;']#['reduce']
['通用']#[['つうよう']]#4#['&n;', '&vs;']#['popular use', 'circulation']
['通話']#[['つうわ']]#4#['&n;', '&vs;']#['telephone call', 'speaking over the telephone', '(Internet) voice call']
['つばぜり合い']#[['つばぜりあい']]#4#['&n;', '&vs;']#['locking sword to sword (in a duel) and pushing']
['つま先で歩く']#[['つまさきであるく']]#4#['&exp;', '&v5k;']#['to tiptoe']
['低まる']#[['ひくまる']]#4#['&v5r;', '&vi;']#['to lower', 'to be lowered']
['低める']#[['ひくめる']]#4#['&v1;', '&vt;']#['to lower', 'to be lowered']
['低下']#[['ていか']]#4#['&n;', '&vs;']#['fall', 'decline', 'lowering', 'deterioration', 'degradation']
['低回']#[['ていかい']]#4#['&n;', '&vs;']#['going about immersed or absorbed', 'pacing back and forth meditatively', 'being deep in thought']
['低語']#[['ていご']]#4#['&n;', '&vs;']#['whispering', 'murmuring', 'talking in a low voice']
['低頭']#[['ていとう']]#4#['&n;', '&vs;', '&adj-no;']#['low bow']
['弟子入り']#[['でしいり']]#4#['&n;', '&vs;']#['becoming a pupil (of)', 'becoming an apprentice']
['溺死']#[['できし']]#4#['&n;', '&vs;']#['death by drowning']
['転がす']#[['ころがす']]#4#['&v5s;', '&vt;']#['to roll', 'to wheel', 'to trundle', 'to drive (a car)']
['転がる']#[['ころがる']]#4#['&v5r;', '&vi;']#['to roll', 'to tumble']
['転げる']#[['ころげる']]#4#['&v1;', '&vi;']#['to roll over', 'to tumble', 'to roll about (with laughter)']
['転げまわる']#[['ころげまわる']]#4#['&v5r;', '&vi;']#['to roll about', 'to writhe about']
['転じる']#[['てんじる']]#4#['&v1;', '&vi;']#['to turn', 'to shift', 'to alter', 'to distract']
['転ずる']#[['てんずる']]#4#['&vz;', '&vi;']#['to turn', 'to shift', 'to alter', 'to distract']
['転回']#[['てんかい']]#4#['&n;', '&vs;']#['revolution', 'rotation']
['転業']#[['てんぎょう']]#4#['&n;', '&vs;']#['change of occupation']
['転校']#[['てんこう']]#4#['&n;', '&vs;']#['changing schools']
['転写']#[['てんしゃ']]#4#['&n;', '&vs;']#['transcription (of a text, DNA, RNA, etc.)', 'copying', 'transfer (printing)']
['転借']#[['てんしゃく']]#4#['&n;', '&vs;']#['subtenancy', 'sublease']
['転出']#[['てんしゅつ']]#4#['&n;', '&vs;']#['moving out', 'transfer']
['転生']#[['てんせい'], ['てんしょう']]#4#['&n;', '&vs;']#['transmigration', 'reincarnation', 'metempsychosis']
['転送']#[['てんそう']]#4#['&n;', '&vs;']#['transfer', 'redirection', 'transmission', 'forwarding (telephone call, e-mail, etc.)']
['転入']#[['てんにゅう']]#4#['&n;', '&vs;']#['moving (to a new place)', 'moving in']
['転売']#[['てんばい']]#4#['&n;', '&vs;']#['resale']
['転用']#[['てんよう']]#4#['&n;', '&vs;', '&adj-no;']#['diversion', 'putting something to another use']
['電送']#[['でんそう']]#4#['&n;', '&vs;']#['electronic transmission (of data)']
['電話を切る']#[['でんわをきる']]#4#['&exp;', '&v5r;']#['to hang up', 'to end a telephone conversation']
['土着']#[['どちゃく']]#4#['&n;', '&vs;']#['indigenousness', 'being native (to a region)', 'settling (of people)']
['冬ごもり']#[['ふゆごもり']]#4#['&n;', '&vs;']#['hibernation', 'staying indoors during winter']
['東進']#[['とうしん']]#4#['&n;', '&vs;']#['proceeding east']
['答える']#[['こたえる']]#4#['&v1;', '&vi;']#['to answer', 'to reply']
['頭に来る']#[['あたまにくる']]#4#['&exp;', '&vk;']#['to get mad', 'to be highly offended', 'to get pissed off', 'to get angry', \"to lose one's cool\"]
['働きすぎる']#[['はたらきすぎる']]#4#['&v1;']#['to overwork']
['働きかける']#[['はたらきかける']]#4#['&v1;', '&vt;']#['to work on (someone)', 'to appeal to', 'to make approaches to', 'to pressure', 'to exert influence on', 'to seek action from']
['働く']#[['はたらく']]#4#['&v5k;', '&vi;']#['to work', 'to labor', 'to labour']
['動かす']#[['うごかす']]#4#['&v5s;', '&vt;']#['to move', 'to shift', 'to stir', 'to budge', 'to change position']
['動き回る']#[['うごきまわる']]#4#['&v5r;']#['to move around']
['動く']#[['うごく']]#4#['&v5k;', '&vi;']#['to move', 'to stir', 'to shift', 'to shake', 'to swing']
['動じる']#[['どうじる']]#4#['&v1;', '&vi;']#['to be perturbed', 'to be agitated']
['動ずる']#[['どうずる']]#4#['&vz;', '&vi;']#['to be perturbed', 'to be agitated']
['動員']#[['どういん']]#4#['&n;', '&vs;']#['mobilization', 'mobilisation']
['動作']#[['どうさ']]#4#['&n;', '&vs;']#['action', 'movements', 'motions', 'bearing', 'behaviour', 'behavior', 'execution', 'actuation', 'operation', 'manners']
['動転']#[['どうてん']]#4#['&n;', '&vs;']#['disturbance of mind', \"losing one's head\", 'being upset', 'being astonished', 'being frightened']
['同じる']#[['どうじる']]#4#['&v1;', '&vi;']#['to agree']
['同ずる']#[['どうずる']]#4#['&vz;', '&vi;']#['to agree']
['同意']#[['どうい']]#4#['&n;', '&vs;']#['agreement', 'consent', 'approval', 'assent']
['同行']#[['どうぎょう']]#4#['&n;', '&vs;']#['fellow pilgrim', 'fellow practicer of austerities']
['同行']#[['どうこう']]#4#['&n;', '&vs;']#['accompanying', 'travelling together', 'traveling together']
['同車']#[['どうしゃ']]#4#['&n;', '&vs;']#['riding in the same car']
['同乗']#[['どうじょう']]#4#['&n;', '&vs;']#['riding together', 'riding with']
['同棲']#[['どうせい']]#4#['&n;', '&vs;']#['cohabitation (usu. of a romantically involved couple)', 'living together']
['同道']#[['どうどう']]#4#['&n;', '&vs;']#['going with', 'accompanying']
['同衾']#[['どうきん']]#4#['&n;', '&vs;']#['sleeping together', 'sleeping with', 'sharing a bed']
['堂にいる']#[['どうにいる']]#4#['&exp;', '&v5r;']#['to become an expert', 'to be master at']
['特産']#[['とくさん']]#4#['&n;', '&vs;']#['being produced in a particular region', 'local specialty']
['特集']#[['とくしゅう']]#4#['&n;', '&vs;']#['feature (e.g. newspaper)', 'special edition', 'report']
['特売']#[['とくばい']]#4#['&n;', '&vs;', '&adj-no;']#['special sale']
['こまを回す']#[['こまをまわす']]#4#['&exp;', '&v5s;']#['to spin a top']
['遁走']#[['とんそう']]#4#['&n;', '&vs;']#['flight', 'escape']
['頓死']#[['とんし']]#4#['&n;', '&vs;']#['sudden death']
['馴れ合う']#[['なれあう']]#4#['&v5u;', '&vi;']#['to collude (with)', 'to conspire (with)']
['南進']#[['なんしん']]#4#['&n;', '&vs;']#['proceeding south']
['二乗']#[['にじょう'], ['じじょう']]#4#['&n;', '&vs;']#['squaring', 'multiplying (a number) by itself', 'second power']
['肉食']#[['にくしょく'], ['にくじき']]#4#['&n;', '&vs;', '&adj-no;']#['meat eating', 'eating of meat', 'meat diet']
['日帰り']#[['ひがえり']]#4#['&n;', '&vs;']#['day trip']
['入れ合わせる']#[['いれあわせる']]#4#['&v1;']#['to make up for']
['入院']#[['にゅういん']]#4#['&n;', '&vs;']#['hospitalization', 'hospitalisation']
['入京']#[['にゅうきょう']]#4#['&n;', '&vs;']#['entering the capital', 'entering Tokyo']
['入室']#[['にゅうしつ'], ['にっしつ']]#4#['&n;', '&vs;']#['entering a room']
['入質']#[['にゅうしち']]#4#['&n;', '&vs;']#['pawning']
['入所']#[['にゅうしょ']]#4#['&n;', '&vs;']#['admission (e.g. to a training institution, research establishment, social welfare facility, etc.)', 'entrance']
['入場']#[['にゅうじょう']]#4#['&n;', '&vs;']#['entrance', 'admission', 'entering']
['入朝']#[['にゅうちょう']]#4#['&n;', '&vs;']#['visiting Japan', 'arrival in Japan']
['入門']#[['にゅうもん']]#4#['&n;', '&vs;']#['entering an institution', 'beginning training']
['入力']#[['にゅうりょく']]#4#['&n;', '&vs;']#['input', '(data) entry']
['年明ける']#[['としあける']]#4#['&exp;', '&v1;']#['the New Year dawns']
['ひねくり回す']#[['ひねくりまわす']]#4#['&v5s;', '&vt;']#['to twist', 'to twirl']
['捻転']#[['ねんてん']]#4#['&n;', '&vs;']#['twisting', 'torsion']
['買い集める']#[['かいあつめる']]#4#['&v1;']#['to buy up']
['買い切る']#[['かいきる']]#4#['&v5r;', '&vt;']#['to buy up', 'to buy everything available']
['売り広げる']#[['うりひろげる']]#4#['&v1;']#['to find a market for', 'to extend the sale of']
['売り出す']#[['うりだす']]#4#['&v5s;', '&vt;']#['to put on the market', 'to put out for sale', 'to put on sale', 'to begin selling', 'to market']
['売り切れる']#[['うりきれる']]#4#['&v1;', '&vi;']#['to be sold out']
['売りつける']#[['うりつける']]#4#['&v1;', '&vt;']#['to palm off', 'to force a sale']
['売り歩く']#[['うりあるく']]#4#['&v5k;', '&vt;']#['to peddle (goods)', 'to hawk']
['売る']#[['うる']]#4#['&v5r;', '&vt;']#['to sell']
['売れる']#[['うれる']]#4#['&v1;', '&vi;']#['to sell (well)']
['売買']#[['ばいばい']]#4#['&n;', '&vs;']#['trade', 'buying and selling', 'trafficking (e.g. of humans, arms, drugs)', 'dealing']
['白茶ける']#[['しらちゃける']]#4#['&v1;', '&vi;']#['to fade', 'to discolour', 'to discolor']
['発する']#[['はっする']]#4#['&vs-s;', '&vt;']#['to let out', 'to utter', 'to produce', 'to emit', 'to give forth', 'to discharge']
['発音']#[['はつおん']]#4#['&n;', '&vs;']#['pronunciation']
['発火']#[['はっか']]#4#['&n;', '&vs;']#['ignition', 'catching fire']
['発見']#[['はっけん']]#4#['&n;', '&vs;']#['discovery', 'detection', 'finding']
['発言']#[['はつげん']]#4#['&n;', '&vs;']#['statement', 'remark', 'observation', 'utterance', 'speech', 'proposal']
['発光']#[['はっこう']]#4#['&n;', '&vs;']#['emission (of light)', 'radiation (of light)', 'luminescence']
['発行']#[['はっこう']]#4#['&n;', '&vs;']#['publication', 'issue (of journal, newspaper, etc.)']
['発作']#[['ほっさ']]#4#['&n;', '&vs;', '&adj-no;']#['fit', 'spasm', 'attack', 'seizure']
['発車']#[['はっしゃ']]#4#['&n;', '&vs;']#['departure (of a train, car, etc.)', 'starting', 'leaving']
['発出']#[['はっしゅつ']]#4#['&n;', '&vs;']#['issue', 'sending out']
['発色']#[['はっしょく']]#4#['&n;', '&vs;']#['coloring', 'colouring', 'colour development', 'production of colour']
['発疹']#[['はっしん'], ['ほっしん']]#4#['&n;', '&vs;']#['rash', 'eruption']
['発進']#[['はっしん']]#4#['&n;', '&vs;']#['departure', 'takeoff']
['発生']#[['はっせい']]#4#['&n;', '&vs;', '&adj-no;']#['outbreak', 'spring forth', 'occurrence', 'incidence']
['発声']#[['はっせい']]#4#['&n;', '&vs;', '&adj-no;']#['utterance', 'speaking', 'vocalization', 'vocalisation', 'enunciation', 'pronouncing']
['発送']#[['はっそう']]#4#['&n;', '&vs;']#['sending', 'forwarding', 'shipping']
['発着']#[['はっちゃく']]#4#['&n;', '&vs;']#['arrival and departure']
['発注']#[['はっちゅう']]#4#['&n;', '&vs;', '&adj-no;']#['ordering (materials)', 'placing an order', 'order']
['発電']#[['はつでん']]#4#['&n;', '&vs;', '&adj-no;']#['generation (e.g. power)']
['発動']#[['はつどう']]#4#['&n;', '&vs;']#['putting into operation']
['発売']#[['はつばい']]#4#['&n;', '&vs;']#['sale', 'offering for sale', 'release (for sale)', 'launch (product)']
['発病']#[['はつびょう']]#4#['&n;', '&vs;']#['attack (disease)']
['発明']#[['はつめい']]#4#['&n;', '&vs;']#['invention']
['半切']#[['はんせつ']]#4#['&n;', '&vs;']#['cutting in half']
['汎用']#[['はんよう']]#4#['&n;', '&vs;', '&adj-no;']#['generic', 'general purpose', 'all-purpose']
['飯事をする']#[['ままごとをする']]#4#['&exp;', '&vs-i;']#['to play house']
['挽回']#[['ばんかい']]#4#['&n;', '&vs;']#['recovery', 'restoration']
['病む']#[['やむ']]#4#['&v5m;', '&vi;']#['to fall ill']
['病死']#[['びょうし']]#4#['&n;', '&vs;']#['death from disease', 'death from illness']
['不時着']#[['ふじちゃく']]#4#['&n;', '&vs;']#['emergency landing', 'forced landing', 'crash landing']
['不足']#[['ふそく']]#4#['&n;', '&vs;', '&adj-na;']#['insufficiency', 'deficiency', 'shortage', 'lack', 'scarcity', 'deficit']
['つけ回す']#[['つけまわす']]#4#['&v5s;', '&vt;']#['to follow', 'to shadow', 'to hanker after', 'to hover around']
['撫で回す']#[['なでまわす']]#4#['&v5s;']#['to pat (e.g. dog)', 'to rub', 'to stroke', 'to fondle']
['風聞']#[['ふうぶん']]#4#['&n;', '&vs;']#['rumour', 'rumor', 'hearsay', 'report']
['風靡']#[['ふうび']]#4#['&n;', '&vs;']#['overwhelming', 'conquering', 'dominating', 'sweeping (the world)', 'swaying']
['服薬']#[['ふくやく']]#4#['&n;', '&vs;']#['taking medicine']
['服用']#[['ふくよう']]#4#['&n;', '&vs;']#['taking medicine', 'dosing']
['物語る']#[['ものがたる']]#4#['&v5r;', '&vt;']#['to tell (a story)', 'to give an account of (an event, experience, etc.)', 'to relate', 'to recount']
['物色']#[['ぶっしょく']]#4#['&n;', '&vs;']#['looking for a particular person or thing', 'searching high and low', 'hunting for', 'rummaging', 'scouring (a place) looking for (something)']
['分かち合う']#[['わかちあう']]#4#['&v5u;', '&vt;']#['to share']
['分け合う']#[['わけあう']]#4#['&v5u;', '&vt;']#['to share']
['分け売り']#[['わけうり']]#4#['&n;', '&vs;']#['selling separately']
['分家']#[['ぶんけ']]#4#['&n;', '&vs;']#['branch family', 'cadet family', 'establishing a branch family']
['分界']#[['ぶんかい']]#4#['&n;', '&vs;']#['demarcation']
['分業']#[['ぶんぎょう']]#4#['&n;', '&vs;']#['division of labor', 'division of labour', 'specialization', 'specialisation', 'assembly-line production']
['分光']#[['ぶんこう']]#4#['&n;', '&vs;', '&adj-no;']#['spectrum']
['分乗']#[['ぶんじょう']]#4#['&n;', '&vs;']#['riding separately']
['分進']#[['ぶんしん']]#4#['&n;', '&vs;']#['dividing and advancing']
['分地']#[['ぶんち']]#4#['&n;', '&vs;']#['parceling out an estate']
['分注']#[['ぶんちゅう']]#4#['&n;', '&vs;']#['dispensing (e.g. reagent from a pipette)', 'dispensation']
['分売']#[['ぶんばい']]#4#['&n;', '&vs;']#['selling separately']
['分別']#[['ふんべつ']]#4#['&n;', '&vs;']#['discretion', 'prudence', 'good sense', 'judgement', 'judgment', 'wisdom', 'discernment']
['分別']#[['ぶんべつ']]#4#['&n;', '&vs;']#['separation (e.g. of rubbish when recycling)', 'classification', 'discrimination', 'division', 'distinction']
['糞味噌に言う']#[['くそみそにいう']]#4#['&exp;', '&v5u;']#['to verbally attack (violently)', 'to run down', 'to criticize severely', 'to criticise severely']
['文通']#[['ぶんつう']]#4#['&n;', '&vs;']#['correspondence', 'exchange of letters']
['聞き合せる']#[['ききあわせる']]#4#['&v1;', '&vt;']#['to make inquiries', 'to refer to']
['別家']#[['べっけ'], ['べっか']]#4#['&n;', '&vs;']#['branch family', 'cadet family', 'setting up a branch family']
['別言']#[['べつげん']]#4#['&n;', '&vs;']#['other words']
['別送']#[['べっそう']]#4#['&n;', '&vs;', '&adj-no;']#['separate mail', 'separate shipment']
['別誂え']#[['べつあつらえ']]#4#['&n;', '&vs;']#['special order']
['便じる']#[['べんじる']]#4#['&v1;', '&vi;']#['to satisfy', 'to answer the purpose', 'to make convenient']
['便ずる']#[['べんずる']]#4#['&vz;', '&vi;']#['to satisfy', 'to answer the purpose', 'to make convenient']
['便乗']#[['びんじょう']]#4#['&n;', '&vs;']#['taking advantage of (an opportunity)', 'jumping on the bandwagon']
['勉学']#[['べんがく']]#4#['&n;', '&vs;']#['study', 'pursuit of knowledge']
['勉強']#[['べんきょう']]#4#['&n;', '&vs;']#['study']
['歩き回る']#[['あるきまわる']]#4#['&v5r;', '&vi;']#['to walk about', 'to walk around', 'to walk to and fro', 'to pace around', 'to wander']
['歩く']#[['あるく']]#4#['&v5k;', '&vi;']#['to walk']
['歩む']#[['あゆむ']]#4#['&v5m;', '&vi;']#['to walk', 'to go on foot']
['歩行']#[['ほこう']]#4#['&n;', '&vs;']#['walk']
['捧持']#[['ほうじ']]#4#['&n;', '&vs;']#['bearing', 'presenting', \"holding up (emperor's picture)\"]
['北進']#[['ほくしん']]#4#['&n;', '&vs;']#['proceeding north']
['勃起']#[['ぼっき']]#4#['&n;', '&vs;']#['erection (usu. penis)', 'standing erect', 'stiffening']
['勃発']#[['ぼっぱつ']]#4#['&n;', '&vs;']#['outbreak (e.g. of war)', 'outburst', 'sudden occurrence']
['万引き']#[['まんびき']]#4#['&n;', '&vs;']#['shoplifting', 'shoplifter']
['味わう']#[['あじわう']]#4#['&v5u;', '&vt;']#['to taste', 'to savor', 'to savour', 'to relish']
['名乗り']#[['なのり']]#4#['&n;', '&vs;']#[\"giving one's name (or rank, etc.)\", 'self-introduction']
['名乗り出る']#[['なのりでる']]#4#['&v1;', '&vi;']#['to introduce oneself', 'to announce oneself (e.g. as the person sought)', 'to come forward (e.g. as a witness, with a claim, etc.)']
['名乗る']#[['なのる']]#4#['&v5r;', '&vi;', '&vt;']#[\"to give one's name (as)\", 'to introduce oneself (as)']
['明かす']#[['あかす']]#4#['&v5s;', '&vt;']#['to pass (the night)', 'to spend']
['明らかにする']#[['あきらかにする']]#4#['&exp;', '&vs-i;']#['to make clear', 'to clarify', 'to disclose', 'to make public']
['明らかになる']#[['あきらかになる']]#4#['&exp;', '&v5r;']#['to become clear']
['明らむ']#[['あからむ']]#4#['&v5m;', '&vi;']#['to become luminous at dawn (esp. the sky)']
['明言']#[['めいげん']]#4#['&n;', '&vs;']#['declaration', 'statement']
['目が回る']#[['めがまわる']]#4#['&exp;', '&v5r;']#['to be dizzy', 'to feel faint', 'to feel giddy']
['目を真ん円にする']#[['めをまんまるにする']]#4#['&exp;', '&vs-i;']#['to be very surprised']
['目を通す']#[['めをとおす']]#4#['&exp;', '&v5s;']#['to scan', 'to look over']
['勿体ぶる']#[['もったいぶる']]#4#['&v5r;', '&vi;']#['to put on airs', 'to assume importance']
['問いかける']#[['といかける']]#4#['&v1;', '&vt;']#['to ask a question']
['問い合わせる']#[['といあわせる']]#4#['&v1;', '&vt;']#['to enquire', 'to inquire', 'to seek information']
['問いただす']#[['といただす']]#4#['&v5s;', '&vt;']#['to enquire of someone about something (inquire)', 'to question']
['問う']#[['とう']]#4#['&v5u-s;', '&vt;']#['to ask', 'to inquire']
['問答']#[['もんどう']]#4#['&n;', '&vs;']#['questions and answers', 'dialogue']
