Kanji#Reading#JLPT#Type#Meaning
['明白']#[['めいはく']]#4#['&adj-na;']#['obvious', 'clear', 'plain', 'evident', 'apparent', 'explicit', 'overt']
['茶色']#[['ちゃいろ']]#4#['&n;', '&adj-no;']#['light brown', 'tawny']
['中間体']#[['ちゅうかんたい']]#4#['&adj-na;']#['intermediate']
['中心']#[['ちゅうしん']]#4#['&n;', '&adj-no;']#['center', 'centre', 'middle', 'heart', 'core', 'focus', 'pivot', 'emphasis', 'balance']
['通りすがり']#[['とおりすがり']]#4#['&n;', '&adj-no;']#['passing by']
['つじつまの合わない']#[['つじつまのあわない']]#4#['&exp;', '&adj-i;']#['incoherent', 'inconsistent']
['低い']#[['ひくい']]#4#['&adj-i;']#['low (rank, degree, value, content, quality, etc.)']
['低空']#[['ていくう']]#4#['&n;', '&adj-no;']#['low altitude', 'low sky']
['低地']#[['ていち']]#4#['&n;', '&adj-no;']#['depression', 'lowlands', 'low ground', 'bottom land', 'plain']
['天使']#[['てんし']]#4#['&n;', '&adj-no;']#['angel']
['天体']#[['てんたい']]#4#['&n;', '&adj-no;']#['heavenly body', 'celestial body', 'astronomical object']
['電子工学']#[['でんしこうがく']]#4#['&n;', '&adj-no;']#['electronic engineering', 'electronics']
['都会']#[['とかい']]#4#['&n;', '&adj-no;']#['city']
['都市']#[['とし']]#4#['&n;', '&adj-no;']#['town', 'city', 'municipal', 'urban']
['東方']#[['とうほう'], ['ひがしかた'], ['ひがしがた']]#4#['&n;', '&adj-no;']#['eastern direction']
['東洋風']#[['とうようふう']]#4#['&adj-no;']#['Oriental']
['頭がおかしい']#[['あたまがおかしい']]#4#['&exp;', '&adj-i;']#['insane', 'crazy', 'nuts', \"out of one's mind\"]
['頭上']#[['ずじょう']]#4#['&n;', '&adj-no;']#['overhead', \"above one's head\", 'high in the sky']
['動力']#[['どうりょく']]#4#['&n;', '&adj-f;']#['power', 'motive power', 'dynamic force']
['同い年']#[['おないどし']]#4#['&n;', '&adj-no;']#['the same age']
['同じよう']#[['おなじよう']]#4#['&adj-na;']#['similar']
['同一']#[['どういつ']]#4#['&adj-no;', '&adj-na;']#['identical', 'same', 'one and the same', 'equal']
['同音']#[['どうおん']]#4#['&n;', '&adj-no;']#['homophony', 'same pronunciation', 'same sound']
['同時']#[['どうじ']]#4#['&n;', '&adj-no;']#['simultaneous', 'concurrent', 'same time', 'synchronous', 'together']
['同質']#[['どうしつ']]#4#['&n;', '&adj-no;', '&adj-na;']#['same quality', 'same nature', 'homogeneous']
['同色']#[['どうしょく']]#4#['&n;', '&adj-no;']#['same color', 'same colour']
['同心']#[['どうしん']]#4#['&n;', '&adj-no;']#['concentricity']
['同族']#[['どうぞく']]#4#['&n;', '&adj-no;']#['same family (race, tribe)']
['同文']#[['どうぶん']]#4#['&n;', '&adj-no;']#['same text', 'same wording']
['道楽']#[['どうらく']]#4#['&n;', '&adj-na;']#['pastime', 'hobby', 'favorite amusement']
['特大']#[['とくだい']]#4#['&adj-no;', '&adj-na;', '&n;']#['extra-large', 'king-size']
['特別']#[['とくべつ']]#4#['&adj-na;', '&adj-no;', '&adv;', '&n;']#['special', 'particular', 'extraordinary', 'exceptional', 'especial']
['特有']#[['とくゆう']]#4#['&adj-no;', '&adj-na;']#['characteristic (of)', 'peculiar (to)']
['頓着ない']#[['とんじゃくない'], ['とんちゃくない']]#4#['&adj-i;']#['indifferent', 'unconcerned']
['南方']#[['なんぽう']]#4#['&n;', '&adj-no;']#['the south', 'southward', 'southern direction']
['二回']#[['にかい']]#4#['&n;', '&adj-no;']#['twice']
['二者']#[['にしゃ']]#4#['&n;', '&adj-no;']#['two things', 'two persons']
['二重']#[['にじゅう'], ['ふたえ']]#4#['&n;', '&adj-no;']#['double', 'two-fold', 'two layers', 'duplex']
['二色']#[['にしょく']]#4#['&adj-f;']#['two-color', 'two-colour', 'dichromatic']
['二足動物']#[['にそくどうぶつ']]#4#['&n;', '&adj-no;']#['biped']
['肉腫']#[['にくしゅ']]#4#['&n;', '&adj-no;']#['sarcoma']
['肉色']#[['にくいろ']]#4#['&n;', '&adj-no;']#['flesh-color', 'flesh-colour']
['日進月歩']#[['にっしんげっぽ']]#4#['&n;', '&adj-no;']#['steady progress', 'rapid advance']
['日本風']#[['にほんふう']]#4#['&n;', '&adj-no;']#['Japanese style', 'Japanesque', 'Japanism']
['入り用']#[['いりよう']]#4#['&n;', '&adj-na;', '&adj-no;']#['need', 'want', 'necessity']
['入用']#[['にゅうよう']]#4#['&n;', '&adj-na;']#['need', 'want', 'necessity', 'requirement']
['白黒']#[['しろくろ']]#4#['&n;', '&adj-no;']#['black and white', 'monochrome']
['発売中']#[['はつばいちゅう']]#4#['&n;', '&adj-no;']#['now on sale']
['半音']#[['はんおん']]#4#['&n;', '&adj-no;']#['semitone', 'half-tone']
['半開']#[['はんかい']]#4#['&n;', '&adj-no;']#['half-open', 'partly open']
['挽歌']#[['ばんか']]#4#['&n;', '&adj-no;']#['elegy', 'funeral song']
['病気']#[['びょうき']]#4#['&n;', '&adj-no;']#['illness (usu. excluding minor ailments, e.g. common cold)', 'disease', 'sickness']
['病弱']#[['びょうじゃく']]#4#['&adj-na;', '&adj-no;', '&n;']#['weak (constitution)', 'sickly', 'feeble', 'in poor health']
['品切れ']#[['しなぎれ']]#4#['&n;', '&adj-no;']#['out of stock', 'sold out']
['瀕死']#[['ひんし']]#4#['&n;', '&adj-no;']#['(on the) verge of death']
['不安']#[['ふあん']]#4#['&n;', '&adj-na;']#['anxiety', 'uneasiness', 'worry', 'apprehension', 'fear', 'insecurity', 'suspense']
['不安げ']#[['ふあんげ']]#4#['&adj-na;']#['uneasy']
['不意']#[['ふい']]#4#['&adj-na;', '&adj-no;', '&n;']#['sudden', 'abrupt', 'unexpected', 'unforeseen']
['不運']#[['ふうん']]#4#['&n;', '&adj-na;']#['misfortune', 'bad luck', 'ill luck', 'ill fortune']
['不急']#[['ふきゅう']]#4#['&adj-na;', '&adj-no;', '&n;']#['in no hurry', 'nonessential (industry)']
['不死']#[['ふし']]#4#['&n;', '&adj-no;']#['immortality', 'eternal life']
['不時']#[['ふじ']]#4#['&n;', '&adj-no;']#['emergency', 'unexpectedness']
['不正']#[['ふせい']]#4#['&n;', '&adj-na;']#['injustice', 'unfairness', 'wrongdoing', 'iniquity', 'impropriety', 'irregularity', 'dishonesty', 'illegality', 'fraud']
['不同']#[['ふどう']]#4#['&adj-na;', '&adj-no;', '&n;']#['difference', 'diversity', 'irregularity', 'disorder']
['不買']#[['ふばい']]#4#['&n;', '&adj-no;']#['not buying']
['不服']#[['ふふく']]#4#['&n;', '&adj-na;']#['dissatisfaction', 'discontent', 'disapproval', 'objection', 'complaint', 'protest', 'disagreement']
['不文']#[['ふぶん']]#4#['&adj-no;']#['unwritten']
['不便']#[['ふべん']]#4#['&n;', '&adj-na;']#['inconvenience', 'inexpediency', 'unhandiness']
['不味い']#[['まずい'], ['マズイ'], ['マズい']]#4#['&adj-i;']#['bad (taste)', 'unpalatable', 'unsavoury', 'unsavory', 'awful', 'terrible', 'unpleasant']
['風下']#[['かざしも']]#4#['&n;', '&adj-no;']#['leeward', 'lee', 'downwind']
['物好き']#[['ものずき']]#4#['&n;', '&adj-na;']#['(idle) curiosity', 'fancifulness', 'whimsy', '(having) strange tastes']
['物凄い']#[['ものすごい']]#4#['&adj-i;']#['terrific', 'staggering', 'tremendous', 'incredible', 'extreme']
['物足りない']#[['ものたりない']]#4#['&adj-i;']#['unsatisfied', 'unsatisfactory', 'insufficient']
['糞便']#[['ふんべん']]#4#['&n;', '&adj-no;']#['feces']
['文民']#[['ぶんみん']]#4#['&n;', '&adj-no;']#['civilian']
['ガラが悪い']#[['ガラがわるい'], ['がらがわるい']]#4#['&exp;', '&adj-i;']#['ill-bred', 'vulgar', 'boorish']
['僻遠']#[['へきえん']]#4#['&adj-na;', '&adj-no;', '&n;']#['remote', 'outlying']
['別仕立て']#[['べつじたて']]#4#['&adj-no;']#['tailor-made']
['便']#[['べん']]#4#['&n;', '&adj-na;']#['convenience', 'service', 'facility', 'accommodation']
['北方']#[['ほっぽう']]#4#['&n;', '&adj-no;']#['the north', 'northward', 'northern direction']
['本質']#[['ほんしつ']]#4#['&n;', '&adj-no;']#['essence', 'true nature', 'substance', 'reality']
['本場']#[['ほんば']]#4#['&n;', '&adj-no;']#['home (of something)', 'place famous for its ...', 'center (e.g. of manufacture)', 'best place (for)']
['本体']#[['ほんたい'], ['ほんだい']]#4#['&n;', '&adj-no;']#['substance', 'real form']
['本物']#[['ほんもの']]#4#['&n;', '&adj-no;']#['genuine article', 'real thing', 'real deal']
['味わい']#[['あじわい']]#4#['&n;', '&adj-no;']#['flavour', 'flavor', 'taste']
['味方']#[['みかた']]#4#['&n;', '&adj-no;']#['friend', 'ally', 'supporter']
['民間']#[['みんかん']]#4#['&n;', '&adj-no;']#['private', 'non-governmental', 'non-official', 'civilian', 'civil']
['民事']#[['みんじ']]#4#['&n;', '&adj-no;']#['civil affairs', 'civil case']
['民事上']#[['みんじじょう']]#4#['&adj-no;']#['civil']
['民有']#[['みんゆう']]#4#['&n;', '&adj-no;']#['private ownership']
['民話']#[['みんわ']]#4#['&n;', '&adj-no;']#['folk tale', 'folktale', 'folk story', 'folklore']
['名門']#[['めいもん']]#4#['&n;', '&adj-no;']#['noted family', 'noble family']
['明くる']#[['あくる']]#4#['&adj-pn;']#['next (day, morning, etc.)', 'following']
['明らか']#[['あきらか']]#4#['&adj-na;']#['clear', 'obvious', 'evident', 'plain', 'definite']
['明るい']#[['あかるい']]#4#['&adj-i;']#['light', 'well-lit', 'well-lighted']
['明赤色']#[['めいせきしょく']]#4#['&adj-na;']#['bright red']
['明文']#[['めいぶん']]#4#['&n;', '&adj-no;']#['explicit statement (e.g. law)', 'express provision']
['門外不出']#[['もんがいふしゅつ']]#4#['&n;', '&adj-no;']#['(treasuring something by) never taking (it) off the premises']
['夜光']#[['やこう']]#4#['&n;', '&adj-no;']#['nocturnal luminescence', 'noctilucence']
['夜目にも明るい']#[['よめにもあかるい']]#4#['&exp;', '&adj-i;']#['bright even in the dark', 'clearly visible at night']
['野外']#[['やがい']]#4#['&n;', '&adj-no;']#['outdoors', 'outside', 'open air']
['有りそう']#[['ありそう']]#4#['&adj-na;']#['probable', 'likely']
['有意']#[['ゆうい']]#4#['&adj-na;', '&adj-no;', '&n;']#['significant', 'meaningful']
['有声']#[['ゆうせい']]#4#['&n;', '&adj-no;']#['voiced', 'vocal']
['有体']#[['ゆうたい']]#4#['&n;', '&adj-no;']#['tangible', 'corporeal']
['有名']#[['ゆうめい']]#4#['&adj-na;']#['famous']
['洋風']#[['ようふう']]#4#['&n;', '&adj-no;', '&adj-na;']#['Western style']
['立体']#[['りったい']]#4#['&n;', '&adj-no;']#['solid body', 'three-dimensional object']
['力強い']#[['ちからづよい']]#4#['&adj-i;']#['powerful', 'strong', 'forceful', 'vigorous']
['力弱い']#[['ちからよわい']]#4#['&adj-i;']#['weak']
['力不足']#[['ちからぶそく']]#4#['&n;', '&adj-no;', '&adj-na;']#['lack of ability', 'inadequacy', \"(being) out of one's depth\"]
['力なげ']#[['ちからなげ']]#4#['&adj-na;']#['feeble', 'dejected', 'helpless', 'despondent']
['ほの暗い']#[['ほのぐらい']]#4#['&adj-i;']#['gloomy', 'obscure']
['バラ色']#[['バラいろ'], ['ばらいろ']]#4#['&n;', '&adj-no;']#['rose-colour', 'rose-color']
['躁病']#[['そうびょう']]#4#['&n;', '&adj-no;']#['mania']
['餞別']#[['せんべつ']]#4#['&n;', '&adj-no;']#['farewell gift']
['悪名高い']#[['あくめいたかい'], ['あくみょうたかい'], ['あくめいだかい'], ['あくみょうだかい']]#4#['&adj-i;']#['infamous', 'notorious']
['一世一代']#[['いっせいちだい'], ['いっせいいちだい']]#4#['&n;', '&adj-no;']#['once in a lifetime', \"the first and last occurrence (event, experience) of one's lifetime\"]
['外界']#[['がいかい']]#4#['&n;', '&adj-no;']#['outside world', 'physical world']
['金色']#[['きんいろ'], ['こんじき'], ['きんしょく']]#4#['&n;', '&adj-no;']#['gold (colour, color)']
['軽やか']#[['かろやか'], ['かるやか']]#4#['&adj-na;']#['light', 'easy', 'non-serious', 'minor']
['元金']#[['がんきん'], ['もときん']]#4#['&n;', '&adj-no;']#['capital', 'principal']
['古物']#[['こぶつ'], ['ふるもの']]#4#['&n;', '&adj-no;']#['antique', 'old article', 'secondhand goods']
['黒斑']#[['こくはん'], ['くろぶち'], ['くろふ'], ['くろまだら']]#4#['&n;', '&adj-no;']#['black spot', 'black speck']
['上方']#[['じょうほう']]#4#['&n;', '&adj-no;']#['upper part', 'upper region', 'region above']
['真っ白']#[['まっしろ'], ['ましろ']]#4#['&adj-na;', '&adj-no;', '&n;']#['pure white']
['正気']#[['しょうき']]#4#['&n;', '&adj-no;']#['sanity', 'consciousness', 'soberness']
['正道']#[['せいどう'], ['しょうどう']]#4#['&n;', '&adj-no;']#['path of righteousness', 'path of duty', 'right track', 'correct path']
['早急']#[['そうきゅう'], ['さっきゅう']]#4#['&adj-na;', '&adj-no;', '&n;']#['immediate', 'prompt', 'quick', 'rapid', 'urgent', 'pressing']
['弟子']#[['でし'], ['ていし']]#4#['&n;', '&adj-no;']#['pupil', 'disciple', 'adherent', 'follower', 'apprentice', 'young person', \"teacher's student-helper\"]
['不揃い']#[['ふぞろい'], ['ふそろい']]#4#['&adj-no;', '&adj-na;', '&n;']#['uneven', 'irregular', 'non-uniform', 'unsorted', 'odd', 'miscellaneous', 'incomplete (set)']
['味気ない']#[['あじけない'], ['あじきない']]#4#['&adj-i;']#['wearisome', 'insipid', 'dull', 'irksome', 'wretched', 'vain']
['力ずく']#[['ちからずく'], ['ちからづく']]#4#['&n;', '&adj-no;']#['(brute) force', \"using all one's might\"]
['足元']#[['あしもと']]#4#['&n;', '&adj-no;']#[\"at one's feet\", 'underfoot', 'one\\'s step (as in \"watch your step\")']
['有らゆる']#[['あらゆる']]#4#['&adj-pn;']#['all', 'every']
['暗黒']#[['あんこく']]#4#['&adj-na;', '&adj-no;', '&n;']#['darkness']
['色々']#[['いろいろ']]#4#['&adj-na;', '&adj-no;', '&adv;', '&adv-to;', '&n;']#['various', 'all sorts of', 'variety of']
['重々しい']#[['おもおもしい']]#4#['&adj-i;']#['serious', 'grave', 'dignified', 'solemn']
['主なる']#[['おもなる']]#4#['&adj-pn;']#['main', 'principal', 'important']
['顔なじみ']#[['かおなじみ']]#4#['&n;', '&adj-no;']#['acquaintance', 'friend', 'familiar face']
['画一']#[['かくいつ']]#4#['&n;', '&adj-na;']#['uniformity', 'standardization', 'standardisation']
['貸し切り']#[['かしきり']]#4#['&n;', '&adj-no;']#['reserving (for exclusive use)', '(full) booking', 'chartering', 'block reservation']
['軽々しい']#[['かるがるしい'], ['かろがろしい']]#4#['&adj-i;']#['rash', 'thoughtless', 'imprudent', 'careless', 'frivolous']
['代わり']#[['かわり']]#4#['&n;', '&adj-no;']#['substitute', 'replacement', 'substituting', 'replacing']
['事々しい']#[['ことごとしい']]#4#['&adj-i;']#['bombastic', 'pretentious', 'exaggerated']
['銀']#[['ぎん'], ['しろがね'], ['しろかね']]#4#['&n;', '&adj-no;']#['silver (Ag)']
['重々']#[['じゅうじゅう']]#4#['&adv;', '&adj-no;']#['repeatedly', 'over and over again']
['図々しい']#[['ずうずうしい'], ['ずーずーしい']]#4#['&adj-i;']#['impudent', 'shameless', 'brazen', 'forward', 'audacious', 'cheeky']
['正々堂々']#[['せいせいどうどう']]#4#['&adj-no;', '&adj-t;', '&adv-to;']#['fair and square', 'open and aboveboard']
['楽しげ']#[['たのしげ']]#4#['&adj-na;']#['happy', 'cheerful', 'pleasant']
['使いやすい']#[['つかいやすい']]#4#['&adj-i;']#['easy to use']
['作り事']#[['つくりごと']]#4#['&n;', '&adj-no;']#['fabrication', 'lie', 'fiction']
['手作り']#[['てづくり']]#4#['&n;', '&adj-no;']#['handmade', 'homegrown', 'hand-crafted', 'homemade']
['同名']#[['どうめい'], ['どうみょう']]#4#['&n;', '&adj-no;']#['same name']
['二足三文']#[['にそくさんもん']]#4#['&n;', '&adj-no;']#['dirt cheap', 'very cheap']
['一重']#[['ひとえ']]#4#['&n;', '&adj-no;']#['one layer', 'single layer']
['不帰']#[['ふき']]#4#['&n;', '&adj-no;']#['returning no more (usu. of a person who has died)', 'dying']
['不用']#[['ふよう']]#4#['&adj-na;', '&adj-no;', '&n;']#['disused', 'unused']
['別々']#[['べつべつ']]#4#['&adj-no;', '&adj-na;', '&n;']#['separate', 'respective']
['区々']#[['まちまち']]#4#['&adj-na;', '&adj-no;']#['several', 'various', 'divergent', 'conflicting', 'different', 'diverse']
['間近い']#[['まぢかい']]#4#['&adj-i;']#['near at hand']
['民族']#[['みんぞく']]#4#['&n;', '&adj-no;']#['people', 'race', 'nation', 'ethnic group', 'ethnos']
['勿体ない']#[['もったいない']]#4#['&adj-i;']#['wasteful', 'a waste']
['元々']#[['もともと']]#4#['&adv;', '&adj-no;']#['originally', 'by nature', 'from the start']
['弱々しい']#[['よわよわしい']]#4#['&adj-i;']#['frail', 'slender', 'feminine']
['ろれつが回らない']#[['ろれつがまわらない']]#4#['&exp;', '&adj-i;']#['speaking inarticulately (slurring, lisping, etc.)']
['長音']#[['ちょうおん']]#4#['&n;', '&adj-no;']#['long sound']
['昼なお暗い']#[['ひるなおくらい']]#4#['&exp;', '&adj-i;']#['dark even in the daytime']
['目出度い']#[['めでたい']]#4#['&adj-i;']#['happy', 'auspicious', 'propitious', 'joyous']
['色んな']#[['いろんな']]#4#['&adj-pn;']#['various']
['風上']#[['かざかみ']]#4#['&n;', '&adj-no;']#['windward', 'upwind']
['橙色']#[['だいだいいろ'], ['とうしょく']]#4#['&n;', '&adj-no;']#['orange (color, colour)']
['思いがけない']#[['おもいがけない']]#4#['&adj-i;']#['unexpected', 'contrary to expectations', 'by chance', 'casual']
['見ず知らず']#[['みずしらず']]#4#['&adj-no;']#['strange', 'unfamiliar', 'unknown', 'new']
['やり切れない']#[['やりきれない']]#4#['&adj-i;']#['unable to finish (on time, etc.)']
['不分明']#[['ふぶんめい']]#4#['&adj-na;']#['obscure', 'vague']
['一回り小さな']#[['ひとまわりちいさな']]#4#['&adj-pn;']#['a size smaller']
['自ずから明らか']#[['おのずからあきらか']]#4#['&adj-na;']#['self-evident']
['町立']#[['ちょうりつ']]#4#['&n;', '&adj-no;']#['established by the town']
['銀着せ']#[['ぎんきせ']]#4#['&n;', '&adj-no;']#['silver-plated']
['ゴム引き']#[['ゴムびき']]#4#['&adj-no;']#['rubber-coated']
['色白']#[['いろじろ']]#4#['&adj-na;', '&adj-no;', '&n;']#['fair-skinned', 'light-complexioned']
['曠世']#[['こうせい']]#4#['&n;', '&adj-no;']#['unparalleled', 'unparallelled', 'matchless']
['区立']#[['くりつ']]#4#['&n;', '&adj-no;']#['established by the ward']
['お待ちかね']#[['おまちかね']]#4#['&adj-no;']#['long-awaited', 'long-waited-for']
['親がかり']#[['おやがかり']]#4#['&n;', '&adj-no;']#[\"dependent on one's parents\"]
['大弱り']#[['おおよわり']]#4#['&n;', '&adj-no;']#['extremely troubled', 'very puzzled']
['味な']#[['あじな']]#4#['&adj-pn;']#['smart', 'clever', 'witty', 'strange']
['明け']#[['あけ']]#4#['&n;', '&adj-no;', '&n-suf;', '&adv;']#['dawn', 'daybreak']
['分が悪い']#[['ぶがわるい']]#4#['&exp;', '&adj-i;']#['at a disadvantage', 'in an unfavourable position', 'having poor prospects', 'standing little chance']
['白色']#[['しろいろ'], ['はくしょく']]#4#['&n;', '&adj-no;']#['white']
['大洋']#[['たいよう']]#4#['&n;', '&adj-no;']#['ocean']
['オレンジ色']#[['オレンジいろ']]#4#['&n;', '&adj-no;']#['orange (colour, color)']
['ひびの切れた']#[['ひびのきれた']]#4#['&adj-f;']#['chapped (hands)']
['県外']#[['けんがい']]#4#['&n;', '&adj-no;']#['outside the prefecture']
['金切り声']#[['かなきりごえ']]#4#['&n;', '&adj-no;']#['shrill voice', 'piercing cry', 'shriek', 'scream']
['待ちきれない']#[['まちきれない']]#4#['&adj-i;']#['waiting impatiently for']
['気が強い']#[['きがつよい']]#4#['&exp;', '&adj-i;']#['strong-willed', 'strong of heart']
['小声']#[['こごえ']]#4#['&n;', '&adj-no;']#['low voice', 'whisper']
['心安い']#[['こころやすい']]#4#['&adj-i;']#['intimate', 'carefree', 'familiar', 'friendly']
['肉太']#[['にくぶと']]#4#['&adj-na;', '&adj-no;', '&n;']#['boldface (type)']
['小暗い']#[['おぐらい'], ['こぐらい']]#4#['&adj-i;']#['dusky', 'dim', 'shady']
['お人好し']#[['おひとよし']]#4#['&n;', '&adj-na;', '&adj-no;']#['good-naturedness']
['日朝']#[['にっちょう']]#4#['&n;', '&adj-no;']#['Japan and North Korea', 'Japanese-North Korean']
['国民年金']#[['こくみんねんきん']]#4#['&n;', '&adj-no;']#['national pension', 'government pension system']
['思い思い']#[['おもいおもい']]#4#['&adv;', '&adj-no;']#['just as (each) one likes', 'as (each) one pleases', 'as (each) one prefers', \"(each) in one's own way\"]
['私服']#[['しふく']]#4#['&n;', '&adj-no;']#['civilian clothes', 'plain clothes', 'mufti']
['赤みがかった']#[['あかみがかった']]#4#['&adj-f;']#['reddish', 'tinged with red', 'rufous']
['売れっ子']#[['うれっこ']]#4#['&n;', '&adj-no;']#['popular figure', 'person in demand', 'favorite', 'favourite']
['洋上']#[['ようじょう']]#4#['&n;', '&adj-no;']#['on the sea', 'on the ocean', 'offshore']
['声音']#[['せいおん'], ['こわね']]#4#['&n;', '&adj-no;']#['vocal sound', 'tone of voice']
['高声']#[['こうせい'], ['たかごえ'], ['こうしょう'], ['こうじょう']]#4#['&n;', '&adj-na;']#['loud voice', 'high-pitched voice']
['明々白々']#[['めいめいはくはく']]#4#['&adj-na;', '&adj-t;', '&adv-to;', '&n;', '&adj-no;']#['clearly evident', 'quite obvious', 'as clear as day', 'beyond any doubt', 'strikingly apparent']
['空気力学']#[['くうきりきがく']]#4#['&n;', '&adj-no;']#['aerodynamics']
['後ろ暗い']#[['うしろぐらい']]#4#['&adj-i;']#['shady', 'underhanded', 'questionable']
['発話']#[['はつわ']]#4#['&n;', '&adj-no;']#['utterance', 'speech']
['古生代']#[['こせいだい']]#4#['&n;', '&adj-no;']#['Paleozoic era']
['通りがかり']#[['とおりがかり']]#4#['&n;', '&adj-no;']#['passing (along the way)']
['禿げ頭']#[['はげあたま'], ['とくとう']]#4#['&n;', '&adj-no;']#['bald head']
['頭重']#[['ずおも']]#4#['&n;', '&adj-no;']#['heavy-headed', 'haughty']
['手広い']#[['てびろい']]#4#['&adj-i;']#['spacious', 'roomy']
['手短い']#[['てみじかい']]#4#['&adj-i;']#['short', 'brief']
['村立']#[['そんりつ']]#4#['&n;', '&adj-no;']#['established or operated by a village']
['真っ暗闇']#[['まっくらやみ']]#4#['&adj-no;', '&adj-na;', '&n;']#['pitch dark', 'total darkness']
['族長']#[['ぞくちょう']]#4#['&n;', '&adj-no;']#['patriarch', 'head of a family']
['野太い']#[['のぶとい']]#4#['&adj-i;']#['audacious', 'daring', 'bold', 'impudent', 'cheeky']
['春まき']#[['はるまき']]#4#['&n;', '&adj-no;']#['sowing in spring']
['見好い']#[['みよい']]#4#['&adj-i;']#['pleasant to look at']
['研ぎたて']#[['とぎたて']]#4#['&adj-no;']#['just sharpened']
['広袖']#[['ひろそで']]#4#['&n;', '&adj-no;']#['wide sleeve']
['広闊']#[['こうかつ']]#4#['&n;', '&adj-na;']#['spaciousness', 'extensiveness', 'expansiveness', 'vastness']
['新品']#[['しんぴん']]#4#['&n;', '&adj-no;']#['(brand-)new article']
['新進']#[['しんしん']]#4#['&n;', '&adj-no;']#['rising', 'up-and-coming']
['物見高い']#[['ものみだかい']]#4#['&adj-i;']#['burning curiosity']
['物々しい']#[['ものものしい']]#4#['&adj-i;']#['strict (e.g. security)', 'heavy (e.g. guard)']
['この所']#[['このところ']]#4#['&exp;', '&adj-no;', '&adv;']#['lately', 'recently']
['尻重']#[['しりおも']]#4#['&n;', '&adj-na;']#['slowcoach', 'lazybones', 'slowpoke']
['小生意気']#[['こなまいき']]#4#['&n;', '&adj-na;']#['impudence', 'cheekiness', 'impertinence']
['小太り']#[['こぶとり']]#4#['&adj-no;', '&adj-na;', '&n;']#['plump']
['小頭']#[['こがしら']]#4#['&n;', '&adj-no;']#['head of an organizational section', 'head of an organisational section']
['有り体']#[['ありてい']]#4#['&n;', '&adj-na;', '&adj-no;']#['the unvarnished truth']
['有蓋']#[['ゆうがい']]#4#['&n;', '&adj-no;']#['covered', 'roofed', 'lidded']
['青黒い']#[['あおぐろい']]#4#['&adj-i;']#['black with hints of blue (as in a bruise)', 'bluish black']
['売薬']#[['ばいやく'], ['うりぐすり']]#4#['&n;', '&adj-no;']#['patent medicine', 'nonprescription drug']
['教主']#[['きょうしゅ']]#4#['&n;', '&adj-no;']#['founder of a religious sect']
['紙質']#[['ししつ']]#4#['&n;', '&adj-no;']#['paper quality']
['地中']#[['ちちゅう']]#4#['&n;', '&adj-no;']#['underground', 'subterranean']
['地心']#[['ちしん']]#4#['&n;', '&adj-no;']#['center of the earth', 'centre of the earth']
['地場']#[['じば']]#4#['&n;', '&adj-no;']#['locality', 'local area']
['電子音楽']#[['でんしおんがく']]#4#['&n;', '&adj-no;']#['electronic music']
['電送写真']#[['でんそうしゃしん']]#4#['&n;', '&adj-no;']#['phototelegram']
['洗いたて']#[['あらいたて']]#4#['&adj-no;']#['freshly washed']
['四重']#[['しじゅう']]#4#['&n;', '&adj-no;']#['fourfold']
['枕元']#[['まくらもと']]#4#['&n;', '&adj-no;']#['bedside', \"near one's pillow\"]
['持って生まれた']#[['もってうまれた']]#4#['&exp;', '&adj-f;']#['natural (ability)']
['持って来い']#[['もってこい']]#4#['&exp;', '&adj-na;', '&adj-no;']#['just right', 'ideal', 'perfectly suitable']
['止みがたい']#[['やみがたい']]#4#['&adj-i;']#['irresistible']
['場外']#[['じょうがい']]#4#['&n;', '&adj-no;']#['outside the hall (or stadium, market, etc.)', 'off the grounds', 'off the premises', 'off-track']
['話し好き']#[['はなしずき']]#4#['&n;', '&adj-na;']#['talkative person', 'gossip']
['喧嘩早い']#[['けんかばやい'], ['ケンカばやい'], ['けんかぱやい']]#4#['&adj-i;']#['quarrelsome', 'easy to anger']
['大力']#[['だいりき']]#4#['&n;', '&adj-no;']#['immense physical strength']
['多色']#[['たしょく']]#4#['&n;', '&adj-no;']#['many colors', 'many colours']
['多肉']#[['たにく']]#4#['&adj-no;', '&adj-na;', '&n;']#['fleshy (of a plant or fruit)', 'succulent']
['多作']#[['たさく']]#4#['&adj-no;', '&adj-na;']#['prolific (writer, artist, etc.)', 'productive']
['多病']#[['たびょう']]#4#['&adj-na;', '&adj-no;', '&n;']#['sickly', 'delicate constitution']
['特発']#[['とくはつ']]#4#['&n;', '&adj-no;']#['idiopathy']
['気強い']#[['きづよい']]#4#['&adj-i;']#['reassuring', 'stouthearted']
['気短']#[['きみじか']]#4#['&adj-na;']#['short-tempered', 'quick-tempered']
['心室']#[['しんしつ']]#4#['&n;', '&adj-no;']#['ventricle']
['心もとない']#[['こころもとない']]#4#['&adj-i;']#['uneasy', 'unsure', 'anxious']
['心嚢']#[['しんのう']]#4#['&n;', '&adj-no;']#['pericardium']
['鳥目']#[['とりめ']]#4#['&n;', '&adj-no;']#['night-blindness']
['薬用']#[['やくよう']]#4#['&n;', '&adj-no;']#['medicinal use']
['知日']#[['ちにち']]#4#['&n;', '&adj-no;']#['being knowledgeable about Japan', 'being well versed in Japanese affairs']
